experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Broadcast,577.0070001744898,0.04259220424114109,1141.052000093623,0.021538019299719508
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Broadcast,401.8060008093016,0.06116384511555328,548.9679988386342,0.044767636823989015
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Broadcast,387.27700120944064,0.06345845460290894,477.5830002472503,0.05145911807429644
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Broadcast,397.6619991590269,0.06180122830940138,494.28899910708424,0.04971990079567962
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Broadcast,391.45300070231315,0.06278148323274503,493.4230000799289,0.04980716341966015
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Broadcast,395.2289989683777,0.062181672053791597,512.5259995111264,0.04795073815463381
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Broadcast,393.2740000891499,0.06249078249370401,481.7000008188188,0.05101930653565379
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Broadcast,383.2849997706944,0.06411938900479522,518.0099997232901,0.047443099579405755
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Broadcast,413.3500005991664,0.05945566702401394,478.8269998243777,0.05132542652986129
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,1,1024,Broadcast,429.76500117219985,0.057184740341740384,519.5809990254929,0.04729965115370625
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Broadcast,396.5229989262298,0.12395750090940973,517.1519987925421,0.09504362376005733
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Broadcast,383.3859991573263,0.12820499472603322,517.0720014575636,0.0950583281659932
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Broadcast,393.49100006802473,0.12491264092826228,512.3739992995979,0.09592992631786453
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Broadcast,406.87399996386375,0.12080398355354582,530.3409998305142,0.09267999271357097
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Broadcast,400.70199975161813,0.12266472348645051,543.3379992609844,0.09046302682097257
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Broadcast,363.4290005720686,0.13524512331880645,518.1390006328002,0.09486257537064562
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Broadcast,400.21599852479994,0.12281368106516169,532.1299995557638,0.09236840629363763
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Broadcast,383.36900070135016,0.1282106792935251,537.0330000005197,0.09152510180929745
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Broadcast,395.7900007662829,0.12418706865973766,516.7409999558004,0.09511921833995025
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,2,1024,Broadcast,401.15000047080684,0.12252773262448736,541.0129997471813,0.09085179103453897
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Broadcast,393.2649997295812,0.2499688506925261,525.4349998722319,0.18709069632571912
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Broadcast,404.26200030196924,0.2431690337616952,531.1249988153577,0.1850863736771215
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Broadcast,391.4160006388556,0.25114967155034956,519.2500011617085,0.18931920997605445
u250_bcast,xilinx_u250_gen3x16_xdma_shell_3_1,4,0,3,4,1024,Broadcast,473.5950005851919,0.20756975871479189,531.0000015015248,0.1851299429793273
