experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,558.4210000009193,0.058679741628531255,987.1359999991114,0.033195020746917846
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,318.1029999979046,0.10301066006990142,534.260999998537,0.061333318359546606
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,302.63000000019247,0.10827743449089369,504.603999999631,0.06493805043167307
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,293.8370000009627,0.11151761010319546,417.1239999948284,0.07855697586426641
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,299.2770000034284,0.10949053886407785,479.8240000027931,0.06829170695882084
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,288.13600000177075,0.11372407474178382,442.03499999895257,0.07412987659365808
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,287.92900000240707,0.11380583407619956,466.40200000069854,0.07025698860629011
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,319.95699999498584,0.10241376185085346,453.4930000019699,0.07225690363436185
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,261.34400000188407,0.12538263744246575,380.6329999989089,0.08608817417326908
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,236.4870000022279,0.13856152769366306,384.91200000123627,0.0851311468592685
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,228.22199999694703,0.14357949715819834,357.6019999940172,0.0916325971346587
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,228.76899999602074,0.1432361902205717,369.4650000056754,0.08869040369046229
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,239.4789999939917,0.13683036926336806,378.05099999843605,0.08667613628884874
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,250.936000000479,0.13058309688501232,396.5800000003128,0.08262645620044923
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,229.56299999776775,0.14274077268688176,389.36800000044514,0.08415689013982285
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,230.79599999675793,0.14197819719778637,372.5770000002626,0.08794960504802202
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,228.90399999653255,0.14315171425792636,402.7000000021985,0.08137074745423667
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,239.2439999994167,0.13696477236662108,404.71599999847285,0.0809654177253275
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,235.31300000456667,0.13925282495809443,438.44900000067355,0.07473617227989951
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,1,1024,Reduce,266.7690000066614,0.12283286288579918,470.5289999975548,0.06964076603178611
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,234.70400000036307,0.2792283045874745,377.93999999991,0.1734031856908917
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,295.741999998711,0.22159855549866317,381.3499999978376,0.171852628819645
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,293.38999999595217,0.22337502982686588,354.7769999983075,0.18472448890517887
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,279.568000003394,0.2344188176014579,391.5320000018596,0.16738350888225925
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,274.55699999734406,0.23869724683994206,398.7450000053627,0.16435566589955636
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,271.55099999731647,0.24133956420947683,399.9579999955927,0.16385720500833129
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,273.7109999984,0.23943502453457516,401.39000000039005,0.16327262761886524
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,282.0300000010434,0.2323724426470856,406.347000001972,0.1612808757039721
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,278.6340000042742,0.23520460532093962,401.0240000056342,0.16342164059776784
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,312.87800000256993,0.20946183496270654,405.7660000000851,0.16151180729776832
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,307.10600000105615,0.2133986310908111,394.88100000539816,0.16596392330627227
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,304.91399999732494,0.21493273513375888,414.22000000324033,0.15821544106872515
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,322.05899999837584,0.20349066475499988,362.14600000050723,0.18096568787148887
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,313.9160000031893,0.2087692248860656,403.6260000006564,0.16236813287521967
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,309.29599999751645,0.21188764161362006,405.5659999977479,0.1615914549058943
u250_reduce,xilinx_u250_gen3x16_xdma_shell_3_1,4,3,3,2,1024,Reduce,317.6980000034746,0.20628395520048362,409.66600000302833,0.1599742229023535
