experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,325.6189999945036,0.025158237081184694,959.6709999897257,0.008536258780444238
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,449.0860000032626,0.018241494947383096,757.6899999861553,0.010811809579313025
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,409.5259999985501,0.020003613934228847,689.4959999925732,0.011881142167740262
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,366.4910000082955,0.02235252707382876,686.9759999972302,0.011924725172397621
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,429.58599999565195,0.019069522750003294,690.2610000025788,0.011867974577687852
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,353.8280000014993,0.023152492171239384,692.9169999949636,0.01182248378963071
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,350.4000000020824,0.023378995433651018,771.5210000043271,0.010617987067045555
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,445.745999996916,0.01837817950145751,701.8659999999954,0.011671743609179035
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,411.57300000804753,0.019904123933882495,579.1119999969396,0.014145795632007782
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,357.6249999923675,0.022906675987905863,738.7859999994362,0.011088461340640255
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,438.4389999927407,0.018684469219516595,682.0990000022675,0.012009986820055104
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,444.8370000034174,0.018415734302535684,652.6640000004136,0.012551634531695954
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,424.0380000055666,0.019319023294828434,692.5469999998768,0.011828800067001167
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,422.5790000020879,0.019385724326006555,680.5790000043999,0.012036809833901782
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,431.6710000011881,0.018977415670678486,687.7219999950057,0.011911789938462768
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,356.5539999925704,0.022975481975158595,739.3199999938815,0.011080452307617533
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,429.42800000389525,0.019076539023830986,695.0199999948836,0.011786711173865939
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,409.63400000748607,0.01999833998117903,690.3200000039078,0.011866960250251515
u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,1,3,1,1024,Send/recv,434.870999995951,0.018837770281477206,675.5230000123902,0.012126900194145493
