experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,590.5049999910261,0.05549148610172306,1227.1809999901961,0.02670184756793153
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,901.5439999870978,0.036346534390411286,878.0560000332116,0.037318804266197804
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,599.6950000053403,0.054641109230038946,853.9810000343095,0.03837087710228156
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,514.9880000203666,0.06362866707322132,942.0060000024932,0.03478534106992235
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,569.0219999792134,0.057586525654890364,932.1360000171808,0.03515366856273766
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,556.0829999922134,0.058926455224236014,853.9900000528178,0.038370472719789876
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,573.4279999956016,0.057144052959135834,847.8860000309396,0.0386467048622153
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,575.6619999601753,0.05692229120954122,826.4399999688976,0.03964958133831034
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,531.8339999575983,0.061613210141909895,914.9710000428968,0.035813156918048476
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,510.96000004235975,0.06413026459465214,971.6090000324584,0.03372550068896575
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,550.1029999663842,0.059567026542306424,735.9720000295056,0.044523432954903595
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,558.660000024247,0.05865463788096123,857.1630000346886,0.03822843496356458
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,540.7049999917035,0.06060236173237308,911.9599999962702,0.03593140050016889
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,535.683999999037,0.061170391499576066,879.272000020137,0.03726719376853755
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,544.2089999974087,0.060212161136908846,807.4120000287621,0.04058398933733053
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,568.2679999949869,0.05766293368672716,826.1259999926551,0.039664651639448864
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,535.7649999950809,0.06116114341231857,876.3860000158274,0.03738991722757804
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,502.34400004001145,0.06523020081336701,891.3010000242139,0.0367642356500327
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,489.96999998962565,0.0668775639339017,900.1230000080795,0.03640391368702485
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,1,1024,Allreduce,493.6159999715528,0.06638358562503734,732.3469999960253,0.04474381679747148
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,534.9770000293574,0.12250246271597405,873.7859999996545,0.07500234611223562
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,485.6250000102591,0.13495186614901522,841.2729999918156,0.07790099052345384
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,497.1349999891572,0.1318273708377591,916.1309999967671,0.07153562099768622
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,468.2809999962956,0.13995015813265632,822.7110000120774,0.07965859214115033
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,491.8090000387565,0.1332549831231952,881.918000004589,0.07431076358534353
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,535.9069999713029,0.1222898749288764,912.8399999553949,0.07179352351255681
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,549.3530000535429,0.11929669992447936,902.455000016289,0.07261968740692566
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,574.150999966605,0.11414418855634119,883.1029999782913,0.0742110489961092
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,462.6240000220605,0.14166147886161307,890.6399999659698,0.07358304141123692
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,560.215000007247,0.11698365805833871,875.7620000210409,0.07483311675823505
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,520.1069999998253,0.12600484131154166,898.8679999788474,0.07290948170536968
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,481.3699999886012,0.1361447535192303,871.0609999980079,0.07523698110712095
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,441.37599996929566,0.14848111361868116,986.6139999985535,0.06642516728943243
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,580.0970000109373,0.11297420948352493,890.7879999924262,0.07357081595234467
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,531.6940000170689,0.12325886693830682,861.9739999744525,0.07603013548197786
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,517.4649999730718,0.12664817911049134,906.3110000511188,0.07231071894339092
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,552.8020000156175,0.1185523930777177,849.6670000113227,0.07713139382737787
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,518.0180000365908,0.1265129783045585,829.4319999890831,0.07901310776635405
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,548.8740000032521,0.11940080965688243,892.9949999583187,0.07338898874356402
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,2,1024,Allreduce,501.28600003063184,0.1307357476490373,927.6409999756652,0.0706480200872096
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,556.6160000398668,0.2354801155385619,948.6849999689184,0.13816177129847557
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,449.7229999742558,0.29145051511153125,923.0030000253464,0.14200603897972233
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,472.14100004566717,0.2776119845286096,878.3040000253095,0.14923306736189632
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,572.2930000047199,0.22902953556817748,907.0769999652839,0.1444993093254668
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,486.5810000183046,0.26937344449345374,873.3370000300056,0.15008181262845466
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,600.9429999949134,0.21811053627566915,796.9430000116517,0.16446847515830323
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,522.5279999763188,0.25084206014977234,814.6440000018629,0.16089482031378158
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,531.1609999694156,0.24676510513299577,876.8440000039845,0.14948154973906919
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,485.36200000626195,0.27004998330794117,812.1529999698396,0.16138830984416427
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,513.104999981806,0.2554486898483695,906.8219999903704,0.1445399427907482
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,542.576000043482,0.24157353069338836,785.00899996925,0.16696878635166512
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,503.0780000083723,0.2605401150474055,884.9010000062663,0.1481205242157844
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,577.9480000001058,0.22678856921379778,878.9240000055543,0.14912779716923386
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,559.714999951666,0.2341763218983209,885.4039999732777,0.14803637661898508
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,546.5400000161935,0.23982142202970771,859.6999999781474,0.1524624869179152
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,515.5549999926734,0.2542347567221008,903.9400000006026,0.14500077438758394
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,526.7930000059096,0.2488112028795554,787.1679999880143,0.166510833776266
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,519.071000042004,0.25251266202387235,809.5270000012533,0.1619118324648802
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,534.253000012086,0.2453369470962912,852.1480000354131,0.15381365677623252
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,4,1024,Allreduce,508.9060000500467,0.2575564052833139,844.3330000318383,0.15523732934169043
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,491.5760000017144,0.533272576364765,835.6600000070102,0.31369695809037274
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,540.0059999942641,0.4854464580074749,793.6819999940781,0.33028845306049015
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,546.6830000386835,0.4795173802394634,885.0590000406555,0.29618816371333245
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,512.2179999830223,0.5117820927977714,909.4310000250516,0.2882505654555198
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,476.22799996815957,0.5504590238657258,852.8199999773278,0.307384911243837
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,569.7320000308537,0.4601180905861066,921.2680000132423,0.2845469505032542
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,584.5769999837103,0.44843365374844524,900.4089999962162,0.29113880469997705
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,515.4060000336358,0.5086165081176631,802.5750000228982,0.3266286639784703
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,472.80100000079983,0.5544489119091468,916.8340000087483,0.2859230787661656
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,551.8039999969915,0.4750672340204661,821.0380000264195,0.3192836385058483
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,490.8340000042699,0.5340787312975864,808.9059999747406,0.3240722655143934
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,456.8319999975756,0.5738302045421318,769.5670000202881,0.3406383069870318
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,485.82599998781006,0.5395841309575393,862.3410000154763,0.30399111255906347
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,540.7440000340102,0.48478392729926245,889.9519999658878,0.29455970660220787
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,499.46600000794206,0.5248485382304934,922.7639999949133,0.28408563836630496
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,555.4260000053546,0.47196926322763566,902.7290000176436,0.2903905823285576
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,488.6790000000474,0.5364339372061713,899.0289999815104,0.2915856996886544
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,490.95200000692785,0.5339503658123419,848.1429999847023,0.3090799546830289
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,575.2480000182913,0.45570606067585545,786.0620000315066,0.33349023358143864
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,8,1024,Allreduce,557.4470000055953,0.47025815906690455,906.7510000022594,0.28910252097802686
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,473.85200002736383,1.1064382971259457,875.9690000488263,0.5985234636965193
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,477.6129999868317,1.0977255644516695,941.9919999800186,0.5565737288757454
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,554.3569999986175,0.9457587799943131,798.7769999999728,0.6563634155715774
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,489.9460000160616,1.0700934388336931,833.6180000014792,0.6289307572522063
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,490.721999995003,1.0684012536738496,865.529999998671,0.6057421464314409
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,505.4339999901458,1.0373025954134898,818.205999962629,0.6407775059385368
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,485.04900001944407,1.0808969814987415,856.0889999671417,0.6124223065827538
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,560.0439999966511,0.9361550163971673,855.4089999961434,0.612909146387709
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,562.1629999836841,0.9326263023628674,875.1719999509078,0.5990685259919303
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,576.9420000092396,0.9087360601093415,844.0689999815731,0.6211435321181631
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,520.5949999549375,1.0070938062128567,878.7600000346174,0.5966225135183059
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,517.0289999796296,1.0140398314614005,888.0249999947409,0.5903977928584273
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,541.7820000275242,0.9677102597970485,823.6869999791452,0.6365136271584648
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,481.39599999785787,1.0890992031556828,814.2230000203199,0.6439120486487312
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,582.5450000429555,0.8999957084196761,913.2719999911387,0.5740765073330695
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,518.0340000379147,1.0120725665914354,878.7990000200807,0.596596036167565
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,504.3930000283581,1.0394434497911815,990.1320000267333,0.5295132366046592
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,523.9069999447565,1.000727228411309,825.0660000044263,0.6354497700755907
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,463.83200003674574,1.13034029553473,868.3889999474559,0.603747859578741
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,16,1024,Allreduce,531.5970000197012,0.986250862929192,835.6370000228708,0.627411184504337
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,32,1024,Allreduce,533.7449999842647,1.964563602527261,944.372000049043,1.1103421108901423
u280_allreduce,xilinx_u280_xdma_201920_3,4,3,6,32,1024,Allreduce,571.0460000045714,1.8362373608984317,796.309999998357,1.3167937109946675
