experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,1,1024,Allgather,778.6359999997217,0.06444089407633084,1972.1259999982976,0.02544259342458003
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,1,1024,Allgather,683.1930000004149,0.07344337544437593,850.504999995394,0.0589955379454227
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,1,1024,Allgather,675.7479999990323,0.07425253200908008,740.1780000009239,0.06778909937871345
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,1,1024,Allgather,469.38599999890585,0.10689709535460572,758.9800000005198,0.06610977891376009
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,1,1024,Allgather,506.9439999942915,0.09897740184431617,821.2859999972011,0.06109442995518126
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,1,1024,Allgather,574.4199999995203,0.08735071898618066,814.1339999951924,0.06163113197618119
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,1,1024,Allgather,541.6619999962791,0.0926334134577369,778.4359999973844,0.06445745058061111
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,1,1024,Allgather,472.14900000369653,0.10627153716222455,824.2960000046651,0.060871337480366314
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,1,1024,Allgather,583.6520000030987,0.08596903634311817,868.3909999973594,0.05778042379544765
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,1,1024,Allgather,529.8620000004917,0.09469635489986722,790.8689999993612,0.06344413550163241
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,2,1024,Allgather,565.799000000311,0.17736333927763187,794.0460000028793,0.12638058752217896
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,2,1024,Allgather,538.3919999957243,0.1863920712061044,688.2749999945759,0.1458021866271343
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,2,1024,Allgather,462.194999997223,0.21712047945261834,750.6740000025047,0.13368253063202556
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,2,1024,Allgather,632.5579999995057,0.15864474087764033,855.1780000018994,0.11734633023742089
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,2,1024,Allgather,595.9689999954776,0.16838459718670182,792.3990000051617,0.12664326936221057
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,2,1024,Allgather,442.7499999977158,0.22665612648338276,863.7139999976284,0.11618660806734121
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,2,1024,Allgather,570.5099999957497,0.1758987572535935,886.0269999999559,0.11326065684229149
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,2,1024,Allgather,625.460999998495,0.16044485587469318,692.5490000000423,0.14490238235849576
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,2,1024,Allgather,550.8789999950636,0.18216704575941223,772.663000006446,0.129878096918272
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,2,1024,Allgather,705.8549999996444,0.14217084245355005,735.0659999971754,0.13652107429861485
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,4,1024,Allgather,724.7369999987541,0.3115502589220478,946.4210000018625,0.23857458784151628
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,4,1024,Allgather,498.00800000099343,0.4533903069821159,821.3309999973717,0.2749098719039249
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,4,1024,Allgather,635.7960000045182,0.35513277843584334,779.5370000067692,0.28964885566437426
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,4,1024,Allgather,505.03399999968224,0.4470827706652266,854.4989999990094,0.2642390453356432
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,4,1024,Allgather,541.9369999941637,0.41663883440774785,913.8149999969869,0.24708721130726075
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,4,1024,Allgather,522.6829999998017,0.4319865004220257,775.1710000007961,0.291280246551752
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,4,1024,Allgather,472.1230000015453,0.4782482531019691,888.5300000045504,0.254118600383604
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,4,1024,Allgather,475.4120000001194,0.4749396313091451,875.0850000041055,0.25802293491368344
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,4,1024,Allgather,712.8259999973352,0.3167561228137639,874.9719999983085,0.2580562578007485
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,4,1024,Allgather,531.1199999979976,0.4251242657042688,851.7049999952064,0.2651058758622654
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,8,1024,Allgather,545.3819999985399,0.8280141258809586,774.780000000419,0.5828544877252327
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,8,1024,Allgather,631.8780000000856,0.7146696039424363,796.53599999574,0.5669348278074251
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,8,1024,Allgather,497.2139999992464,0.9082286500393882,845.9140000027787,0.5338415016166143
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,8,1024,Allgather,559.1119999976968,0.8076807509083336,730.5170000009298,0.6181704190312138
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,8,1024,Allgather,558.9149999991605,0.8079654330277024,761.4949999990017,0.5930229351480863
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,8,1024,Allgather,484.9999999976262,0.9311010309323922,814.518999995073,0.5544180062131535
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,8,1024,Allgather,513.9479999982655,0.8786569847562867,863.5460000050443,0.5229414530289783
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,8,1024,Allgather,480.38699999608525,0.9400420910717402,733.3140000014282,0.6158125986945845
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,8,1024,Allgather,574.3630000054623,0.7862344893311467,773.0979999962528,0.5841225821334278
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,8,1024,Allgather,681.7679999997495,0.6623719505758058,913.7110000025928,0.49423067030901296
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,16,1024,Allgather,601.4219999954662,1.5017209214275642,774.0710000021522,1.1667766910238062
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,16,1024,Allgather,635.7819999962544,1.4205623940365106,789.0320000001338,1.144653195307474
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,16,1024,Allgather,493.8999999950511,1.8286454748107914,819.6290000057616,1.1019229431775246
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,16,1024,Allgather,584.9890000035884,1.5439059537776947,955.3110000055653,0.9454177749389868
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,16,1024,Allgather,573.262999999713,1.5754862951218764,809.3160000015587,1.1159645923202564
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,16,1024,Allgather,582.880000003172,1.5494921767689491,904.2759999999817,0.9987747103760559
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,16,1024,Allgather,637.6299999999446,1.4164452739050524,873.5230000027627,1.0339372861357325
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,16,1024,Allgather,559.6250000010627,1.6138807236958406,853.1000000004951,1.0586894854055513
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,16,1024,Allgather,446.31899999814095,2.023592990672057,778.709000002209,1.1598273552731995
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,16,1024,Allgather,645.8569999949759,1.3984024327475364,887.331000001268,1.017847905684248
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,32,1024,Allgather,630.5399999959604,2.9045326228498323,853.2880000018395,2.1463140229278412
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,32,1024,Allgather,506.96899999991274,3.6124970165834895,808.9570000038293,2.263932446336864
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,32,1024,Allgather,517.2520000016334,3.5406803646853304,814.4829999991998,2.2485724072838837
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,32,1024,Allgather,563.2530000028169,3.2515121978770476,749.9899999956483,2.4419312257638457
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,32,1024,Allgather,453.56399999718633,4.037851328613737,832.8110000022093,2.19908718784351
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,32,1024,Allgather,489.2639999951598,3.743222472975976,987.8080000049749,1.8540283131851296
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,32,1024,Allgather,558.1309999982409,3.281351510677193,880.0769999979252,2.0809815504828753
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,32,1024,Allgather,456.0159999940083,4.016139784621731,777.9580000004671,2.354142511548053
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,32,1024,Allgather,501.24499999526506,3.653750162130895,816.0760000066603,2.244183139787291
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,32,1024,Allgather,532.0209999979397,3.4423904319699643,955.6320000001506,1.916453195371975
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,64,1024,Allgather,479.5330000035847,7.638364825721315,907.9550000024028,4.034173499777309
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,64,1024,Allgather,611.1570000015831,5.99330123027391,952.1879999994098,3.846769755554859
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,64,1024,Allgather,596.4239999940446,6.141349107407773,775.6119999982047,4.722526211570319
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,64,1024,Allgather,621.3690000009819,5.894803248945814,877.1500000008814,4.175851336711303
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,64,1024,Allgather,661.9150000020113,5.533713543262912,882.7820000050224,4.149210110739867
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,64,1024,Allgather,462.56000000255426,7.918644067752883,812.0170000012195,4.510802113742076
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,64,1024,Allgather,544.6469999981218,6.725177959325271,876.0919999986072,4.1808942439901555
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,64,1024,Allgather,489.15499999679923,7.488113174809555,894.9809999947433,4.092654480957153
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,64,1024,Allgather,484.62800000237394,7.558061028215575,841.3040000050387,4.353774616521569
u280_u250_allgather,xilinx_u280_xdma_201920_3,7,6,6,64,1024,Allgather,529.4340000006059,6.918422315143735,898.8819999942166,4.074893033817083
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
