experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,952.0389999124745,70.48961650328363,1826.7820000801294,36.73610972576714
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,1251.2060000062775,53.63534382001309,1349.0960000126506,49.74357940381612
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,903.8119999331684,74.2509105930905,1307.9560001187929,51.30819690716274
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,900.4930000173772,74.52458153334337,1265.9240001084981,53.01176373482794
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,883.4820000629406,75.95951473286276,1126.65200003903,59.56485587179997
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,919.715999998516,72.96694196916035,1201.6480000056617,55.8473562970885
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,907.0240000710328,73.98796944154115,1208.2289999852946,55.543166072670644
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,884.5049999308685,75.87166155674092,1203.4830001539376,55.762203530433
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,874.322000072425,76.75531897223334,1271.5620000562922,52.776713991947766
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,1037.079000070662,64.70950042901987,1327.5610001528548,50.550493719138416
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,937.2730000904994,71.60012503669714,1307.7559999601363,51.31604366720218
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,960.5370000826952,69.86598537507918,1252.2929998795007,53.58878793258239
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,945.7199998905708,70.96060568430948,1248.7919998420693,53.739024600163226
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,895.6429999216198,74.92813990158231,1279.2489999355894,52.459579021268695
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,913.743999944927,73.44383547694406,1464.0540000527835,45.8376972417551
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,891.6190001855284,75.26630094921256,1341.5100002021063,50.02487047423401
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,889.4600000530772,75.4489960155548,1259.7899999491347,53.269881490335365
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,1001.8820000823325,66.98280236044279,1286.4370000897907,52.16645976080907
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,920.8259998558788,72.87898474902252,1309.966999997414,51.22943097049963
u280_u250_allreduce,xilinx_u250_gen3x16_xdma_shell_3_1,8,2,3,1,1024,Allreduce,914.5090000401979,73.382398639106,1228.7090000882017,54.61737807339463
