experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,355.13700004230486,0.021625457215342637,618.098000018108,0.012425214124257003
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,490.9139999540457,0.015644288003028885,538.6590000284741,0.014257628665990963
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,286.6400000129943,0.0267931900629774,629.7240000208149,0.012195819120354546
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,265.22499996417537,0.028956546332500166,481.91799999131035,0.01593632111715786
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,289.989999998852,0.026483671850858315,506.9730000286654,0.015148735730632116
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,265.867999985403,0.02888651511434868,486.44899999317204,0.015787883211000123
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,248.5969999952431,0.0308933736133057,534.8610000055487,0.014358870809276293
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,266.2150000105612,0.02884886276015747,537.3110000164161,0.0142933980502267
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,319.26399998383204,0.024055327253899365,490.85000000559376,0.015646327798538206
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,290.4490000332771,0.02644181938694949,473.76599997051017,0.016210534315417413
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,295.3289999823028,0.026004896235927437,514.5750000110638,0.014924938055356116
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,312.72900002932147,0.02455800389244337,558.8249999846084,0.013743121729005551
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,376.79999996953484,0.02038216560674349,624.0899999738758,0.012305917416272464
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,302.508000004309,0.02538775833991367,566.701999957786,0.013552096164425195
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,301.6279999883409,0.025461827152309675,503.169000012349,0.015263261448562042
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,311.5439999987757,0.02465141360459576,561.9949999982055,0.013665602007178932
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,286.42799998124246,0.026813021075114674,510.2990000409591,0.015050000096773784
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,267.8309999737394,0.02867479866316079,493.6170000178208,0.015558621359723697
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,286.03700002349797,0.026849673291808707,477.55999997889376,0.016081748890902556
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,299.9899999736044,0.025600853364031294,416.5959999795632,0.018435126598375297
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,296.68600001286904,0.025885953498536746,449.42400000991256,0.017088539997487027
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,278.83199999223507,0.027543467034679924,548.8090000085322,0.013993939603542583
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,272.73500001001594,0.0281592021549048,617.2010000113914,0.012443272126678753
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,343.85300000394636,0.022335125765695973,565.0730000184012,0.013591164326998292
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,365.2780000038547,0.021025082265887774,489.5700000133729,0.015687235737055407
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,331.26400001037837,0.023183925810711062,477.34100002116975,0.016089127059396524
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,300.53499995119637,0.02555442794099572,555.004000034387,0.013837738105534667
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,306.49500001800334,0.025057505014923185,494.64700003909456,0.01552622375025626
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,295.38000001139153,0.026000406255345034,521.1470000290319,0.014736724953942295
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,293.17100000980645,0.02619631546006633,507.94399999176676,0.015119776983534573
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,310.26399994971143,0.024753113481566662,488.03300001054595,0.015736640759608556
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,313.18099996724413,0.02452256043886206,567.1080000411166,0.013542394040364768
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,308.4159999957592,0.02490143183267276,610.7960000463208,0.0125737562122502
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,274.49999998907515,0.02797814207761624,528.0849999849124,0.014543113324974995
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,306.3350000047649,0.02507059265144545,474.832999998398,0.016174107528385582
u280_u250_gather,xilinx_u250_gen3x16_xdma_shell_3_1,5,0,3,1,1024,Gather,302.42299999372335,0.025394893907405836,633.7700000358382,0.012117960773728188
