experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,477.3000000000138,0.08045254556882231,563.804000009327,0.06810877538890243
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,286.119999998391,0.13420942262063448,403.46900000542973,0.09517459829499472
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,263.28600000624647,0.1458490007029958,378.81000000083986,0.10137007998710398
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,260.98899999738023,0.1471326377754827,375.4890000067235,0.10226664429400706
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,250.99500000180797,0.15299109543904618,389.505999990547,0.0985864145890742
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,266.19400000527094,0.14425569321336934,359.48800000085157,0.10681858643378649
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,249.09600000455612,0.15415743327591627,367.54900000346424,0.10447586580194225
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,247.85600000143404,0.1549286682580927,384.39200000084384,0.09989802077024418
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,272.0709999977089,0.14113962899509086,350.3530000017463,0.1096037425105782
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,247.98999999120487,0.15484495343103297,347.13099999805763,0.11062106236612365
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,251.62400000056095,0.1526086541820907,340.6439999906752,0.11272765702918931
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,273.09300000410985,0.14061144005676493,380.1369999933968,0.10101621257774705
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,251.28699999754645,0.15281331704535028,405.69700000503417,0.09465192002781266
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,261.6270000004306,0.14677384214907788,353.6149999945337,0.1085926784796844
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,228.0389999924637,0.16839224869986738,333.54400000007445,0.11512723958455685
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,254.73799999531366,0.15074311645968186,383.95700001103705,0.1000111991678656
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,229.36200001311136,0.1674209328389397,349.26800000789626,0.1099442262077598
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,251.45799999393148,0.1527093987899638,398.7709999933031,0.0962958690592969
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,276.5179999926204,0.13886980233122187,368.6539999989691,0.10416271083484076
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,261.64099999448354,0.14676598851406938,388.15400000657974,0.0989298062092599
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,243.97900000394657,0.15739059508965464,374.42500000395285,0.1025572544557511
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,236.00399998713328,0.16270910663418217,345.68099999887636,0.11108507554689098
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,243.7489999920217,0.15753910785790667,372.5029999941398,0.10308641809758338
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,240.2509999939184,0.15983284149065785,375.3700000004301,0.10229906492249248
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,236.07199999275963,0.16266223864404813,342.7350000038132,0.11203991421819415
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,229.94799999764837,0.16699427696867428,337.0430000018132,0.11393205021256464
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,247.77800000208572,0.1549774394808125,369.01000000000295,0.104062220536028
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,250.08500000467393,0.15354779374725525,369.7679999987713,0.10384889985106228
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,230.88300000040363,0.1663180052231341,355.9209999934865,0.10788911022587243
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,240.8619999982875,0.15942738995886865,379.28700000122717,0.10124259465754365
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,252.60299999274594,0.15201719694976998,356.98000000650154,0.10756905148551917
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,249.85800000365543,0.1536872943809612,347.60199999084307,0.11047117105486037
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,229.95300000161478,0.16699064591342727,376.4950000118006,0.10199338636315601
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,235.84100000562103,0.1628215619806767,374.5369999990089,0.10252658615864818
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,243.705000002592,0.157567550930804,359.59900000648304,0.10678561397364204
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,255.99100000306407,0.15000527362110533,349.25799999996343,0.10994737414748988
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,226.11699999686152,0.16982358690648197,355.3519999996979,0.10806186541804365
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,245.68199999919216,0.15629960680931557,332.1659999926396,0.11560484818088212
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,228.7270000067565,0.167885732768172,338.4139999980107,0.11347048290031064
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,224.44900000095913,0.1710856363799166,418.73700000394365,0.09170433947713805
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,210.78700000032313,0.18217442252103372,344.7330000057036,0.11139055442723694
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,240.34599999822603,0.15976966540022894,317.12399999150875,0.12108828092805397
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,234.27600000047732,0.16390923526064027,338.21000000955337,0.11353892551644043
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,3,6,1,1024,Reduce,225.65799999085812,0.17016901683767324,358.18499999606956,0.10720716948063534
