experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,629.8280000009981,0.013006725645711238,1608.6339999930033,0.005092519491715102
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,561.0189999885051,0.014602001002047787,822.3100000037675,0.009962179713201185
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,526.2530000038623,0.015566657102078043,817.0179999922311,0.010026706878034383
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,475.9580000097685,0.01721160270408706,766.4179999977705,0.010688684242833323
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,489.77100000513474,0.016726184277783118,794.4999999978108,0.010310887350563338
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,474.65699999804656,0.017258778444294964,740.3400000072224,0.011065186265661834
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,459.0300000018033,0.01784632812663185,771.4120000059665,0.010619487381498652
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,443.1530000061912,0.018485714865713536,727.5090000007367,0.011260341796447474
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,469.2520000020295,0.01745757077213218,761.3319999961732,0.010760088896882276
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,477.175999989754,0.017167669790969998,716.8249999978116,0.011428172845569014
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,444.9869999945122,0.018409526570666173,791.7050000116888,0.010347288446932952
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,407.8239999927291,0.02008709639488125,832.9320000086682,0.009835136601685068
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,479.2350000002443,0.0170939100858573,720.5389999995759,0.011369266618468704
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,460.92799999541967,0.01777284087771063,749.3349999947441,0.010932360025966302
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,454.64000000094984,0.018018652120321322,765.5980000009777,0.010700132445473394
u280_u250_scatter,xilinx_u250_gen3x16_xdma_shell_3_1,8,0,3,1,1024,Scatter,481.1519999918801,0.01702580473558927,750.1829999938536,0.01092000218622272
