experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,576.1329999813825,0.056875756120650774,1346.5220000057343,0.024335287503553935
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,492.35500000577304,0.0665536046137762,789.6440000081384,0.04149718100772282
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,505.08800001125564,0.06487582361740882,780.6500000242522,0.041975277011441756
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,450.71400001006623,0.07270242326457169,823.5380000201076,0.03978929933919252
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,499.60500001589025,0.0655878143712689,814.1419999674326,0.04024850701881341
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,503.58499998992556,0.06506945203025416,738.5530000192375,0.04436783819055162
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,579.0760000081718,0.05658670019054076,777.6749999948152,0.04213585366665827
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,546.2689999831127,0.05998509891832226,781.0970000150519,0.04195125573311452
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,510.0340000012693,0.06424669727884505,864.1000000011445,0.037921536859109595
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,526.9540000085726,0.06218379592804481,890.0049999738258,0.03681777068776431
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,517.9070000167485,0.06327004655071339,901.1470000359623,0.03636254684162775
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,542.907000010473,0.06035656198827403,754.5000000277469,0.043430086148170906
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,553.3849999892482,0.05921374811503141,819.1439999905015,0.04000273456239681
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,450.40899999548856,0.07275165460798566,726.5360000019427,0.04510168800983348
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,458.32099999643106,0.07149574206779782,791.7550000229312,0.041386540026966616
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,528.5969999704321,0.06199051451641407,807.3760000115726,0.040585798933248346
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,526.8959999966683,0.06219064103771372,807.7679999587417,0.040566103140596915
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,520.2359999998407,0.0629867982992527,817.7900000418958,0.040068966358504356
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,539.333999995506,0.060756414393071896,811.8559999843455,0.04036183756803158
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Allgather,394.91100000077495,0.08297565780627963,764.176000018324,0.042880174199679474
u280_allgather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Allgather,481.49000002695175,0.1361108226470572,849.302999995416,0.07716445132108767
