experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,273.8939999744616,0.08972814301259432,530.7259999653979,0.0463063803197927
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,293.2110000983812,0.08381677355813393,412.0470000543719,0.059643681416821526
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,235.195000072963,0.10449201722985585,401.5380000055302,0.06120466805049964
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,257.33200004651735,0.09550308549095118,401.97800001351425,0.06113767419902027
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,268.72600005845015,0.09145374840787461,406.55600002992287,0.06044923700103107
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,298.2930000143824,0.08238879222380362,447.8910000216274,0.05487049304141698
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,260.21500002570974,0.09444497818177985,428.66900002991315,0.057330947650250076
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,210.93199995902978,0.11651148239609685,442.477999968105,0.055541744452315155
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,249.10500007990777,0.09865719271839796,414.2369999726725,0.059328355510544196
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,239.76699992545036,0.10249950997277066,436.8040000599649,0.056263221025050554
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,238.98699998881057,0.10283404537129909,434.8429999936343,0.05651694979650074
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,209.16599999054597,0.11749519520912004,404.5220000534755,0.060753185232820944
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,246.72999995800637,0.09960685771565214,391.28000003074703,0.06280924145897772
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,271.50699997946504,0.09051700325169798,419.76600005000364,0.05854690469707514
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,217.42500007349008,0.11303207998939066,425.8019999952012,0.05771696704166954
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,247.8210000163017,0.09916835134384652,426.63399995035434,0.057604410344369666
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,225.47200001099554,0.10899801305173816,440.34300003659155,0.055811038208754965
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,318.2759999162954,0.07721600122680734,427.3509999848102,0.05750776294164173
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,298.1869999985065,0.08241807993012133,414.04799992506014,0.05935543706151965
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Broadcast,307.59200001284626,0.07989804675990796,444.40799990752566,0.05530053465534797
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,258.9050000096904,0.18984569629076425,428.56200002461264,0.11469052318492345
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,301.2399999988702,0.163165582260604,452.1239999348836,0.10871353877935927
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,266.8949999815595,0.18416231103391237,439.937999999529,0.11172483395399493
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,257.44599997779005,0.19092159134047668,439.67999999949825,0.111790393013228
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,310.33699997351505,0.15838266144286617,400.99799991821783,0.12257417745231743
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,252.6389999957246,0.1945542849711715,458.66500011015887,0.1071631800730272
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,252.8490000486272,0.19439270074450454,440.6639999388062,0.11154076576898862
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,298.3960000619845,0.1647207066776695,442.405999933726,0.1111015673552419
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,256.34600001467334,0.1917408502460991,402.37199993953254,0.12215561720842016
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,259.9219999410707,0.1891028847544406,443.61699997352844,0.11079827870197266
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,232.93499998544576,0.21101165562526505,402.82899999510846,0.12201703452481537
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,261.012999999366,0.18831245953312437,410.35799995370326,0.11977833990209853
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,220.294999962789,0.2231189995610544,554.0600000131235,0.0887124138158968
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,262.3390000735526,0.18736062875218376,497.66500001169334,0.09876523363878333
u280_bcast,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Broadcast,260.8499999041669,0.1884301323291464,427.8159999557829,0.11489051369065235
