experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,483.96499994396436,0.016926843885298536,473.89500002736895,0.01728652971550003
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,362.88100000092527,0.022574893697876474,438.3279999728984,0.018689200782305734
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,379.0060000028461,0.02161443354442537,491.21099993953976,0.016677150961619966
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,353.34500000772096,0.023184140145809325,2149.99499996793,0.0038102414192229253
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,452.69299994288303,0.018096149048104557,487.32700008713437,0.016810067980093994
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,341.0619999613118,0.02401909330540856,644.1589999894859,0.012717357050252674
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,350.6589999915377,0.023361727490803584,632.729000017207,0.012947091092359003
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,329.1950000630095,0.024884946607427245,637.368999946375,0.012852837211551291
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,389.0130000172576,0.021058422211176958,632.0300000197676,0.012961410059243682
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,357.0510000372451,0.022943501066081503,491.30100001093524,0.016674095920459483
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,380.56699997923715,0.021525776014333708,513.181999963308,0.01596314757841413
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,354.21300003690703,0.023127327340177913,609.2260000514216,0.013446569908882018
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,346.83299998050643,0.0236194364448032,490.07999996319995,0.01671563826439589
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,392.43800006261154,0.02087463497085656,638.0600000284176,0.012838917969525044
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,335.7499999765423,0.024399106479738933,538.1779999424907,0.015221729615248841
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,372.20599995180237,0.022009317423848075,534.6140000028754,0.015323205153542442
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,345.7689999777358,0.023692118149769025,519.9319999746876,0.015755906542391736
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,374.9940000261631,0.021845682862735,603.3810000189987,0.013576827907643856
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,370.93399998866516,0.022084791365176357,528.144999975666,0.015510891895932827
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,1,1024,Gather,374.9520000155826,0.021848129893051776,497.14800002220727,0.01647799045683392
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,342.8879999773926,0.04778236625685423,605.9620000087307,0.027037999082061153
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,373.91499995464983,0.043817445146589806,462.01899999687157,0.03546174507998792
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,382.07299996884103,0.04288185765897133,528.912000049786,0.030976797649623737
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,390.4339999962758,0.0419635585019652,478.0840000648823,0.03427012825732816
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,352.39199996794923,0.04649367749974505,476.3199999615608,0.03439704400680676
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,372.5510000549548,0.043977871479564425,491.7449999766177,0.033318081527578425
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,353.30200000771583,0.04637392372429872,434.0739999406651,0.03774471634384824
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,306.64399992019753,0.053430036147010376,498.7400000118214,0.03285078397483991
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,330.0000000763248,0.04964848483700179,652.8160000698335,0.025097424080058328
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,347.7300000440664,0.047117016069719964,625.0640000189378,0.02621171591949562
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,363.074000006236,0.04512578702886628,568.2319999777974,0.028833293444649674
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,358.564000066508,0.045693376906106094,610.1200000330209,0.026853733690279394
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,341.5539999878092,0.04796898879996949,478.73299990897067,0.03422366956761986
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,397.4510000261944,0.04122269159951843,465.66399998937413,0.0351841671255967
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,359.6210000296196,0.045559074688771115,474.263000000974,0.034546232786378764
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,343.3470000118177,0.0477184888740431,585.1050000273972,0.028001811639334528
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,383.33899999543064,0.04274023775351659,500.75800004378834,0.03271839890439557
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,355.99999989699427,0.04602247192342859,491.09999997654086,0.03336184076722183
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,378.76800001868105,0.043256030074325,507.10400000753,0.032308954375742875
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,2,1024,Gather,333.6880000688325,0.04909975784751127,536.31299999779,0.030549324741461638
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,319.90499996936705,0.10243040903748846,481.2570000467531,0.06808836026658659
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,382.2310000032303,0.08572826379786849,588.5639999405612,0.055674489101115984
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,344.7059999643898,0.09506071841913147,479.6810000016194,0.06831206572678379
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,371.97000006017333,0.08809312577546347,533.1280000291372,0.06146366350709234
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,349.71900004165946,0.09369808330715972,504.65900005747244,0.06493097318440424
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,374.397999962639,0.08752183506127144,485.379999986435,0.06750999217296917
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,370.4669999251564,0.08845052327635107,474.5190000221555,0.06905519062138722
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,392.7070000599997,0.08344134429738595,635.4150000333902,0.051569446736822525
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,353.31300000507326,0.09274495985013141,555.9339999763324,0.05894224854280368
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,368.6500000412707,0.08888647767891386,567.8039999565954,0.05771005488250327
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,397.9440000421164,0.08234324426686167,649.0760000588125,0.05048407273883321
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,408.35799995875277,0.08024331592208261,641.9449999839344,0.051044871446650514
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,400.2379999974437,0.08187128658500514,526.9210000733437,0.06218769036618188
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,443.32699997085,0.07391383787171679,494.106000019201,0.06631775367780726
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,364.7900000487425,0.08982702375509637,605.9779999532111,0.054074570368115825
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,341.3570000248001,0.09599334420451128,571.5419999887672,0.057332619476160994
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,383.0040000138979,0.08555524223979635,630.0549999878058,0.0520081580189574
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,339.91299994795554,0.09640113795299722,499.0639999959967,0.06565891348657257
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,356.25900000013644,0.0919780272217332,493.4419999926831,0.06640699413606035
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,4,1024,Gather,299.7079999431662,0.10933308422268946,474.3330000565038,0.06908226919926842
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Gather,343.8150000647511,0.1906141383815643,528.5360000470973,0.12399533805485369
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Gather,387.52700004351937,0.1691133778875802,524.5290000175373,0.12494256751830471
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Gather,374.7340000472832,0.17488671962440236,561.8980000008378,0.11663326795949139
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Gather,362.8689999004564,0.18060512200815745,497.02700005127554,0.13185601585676232
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Gather,368.03700004384154,0.17806905281858393,596.0959999811166,0.10994202276491719
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Gather,370.36100002296735,0.17695167686645163,481.298000067909,0.13616512013503726
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Gather,356.55199997108866,0.18380488681963372,472.11999992669007,0.1388121664199278
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Gather,370.8469999992303,0.176719779316365,478.8369999459974,0.13686494570676674
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Gather,367.8339999169111,0.17816732551858644,520.7990000144491,0.1258374151989189
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Gather,370.67100004151143,0.17680368842628807,499.7219999722802,0.13114491658088961
u280_gather,xilinx_u280_xdma_201920_3,4,1,6,8,1024,Gather,331.5850000262799,0.19764464615349284,571.3409999543728,0.11470557863908538
