experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,360.65699998744094,0.09085640927845867,447.90200001898484,0.07315886064052202
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,192.33300008636434,0.1703711790763208,293.3099999609112,0.11171797758128574
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,176.38799999986077,0.18577227475806668,266.5319999550775,0.12294208577402664
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,166.31999994842772,0.19701779707888803,253.04999996933475,0.1294921952340285
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,163.1459999771323,0.20085077172957347,251.15400001141097,0.13046975162056432
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,174.08099995464,0.1882342128580276,241.40400000760565,0.13573925866583658
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,151.02899999419606,0.216964953758942,513.8330000136193,0.06377169235750034
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,261.1269999306387,0.12548683211120998,284.512000007453,0.11517264649344006
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,176.6539999152883,0.1854925448374415,268.5040000187655,0.1220391502462156
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,171.51600002307532,0.1910492315328685,253.50600003548607,0.12925926800712054
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,161.04799999538955,0.2034672892612021,251.9320000828884,0.13006684339114907
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,163.53900002741284,0.20036810787951095,233.43499992733996,0.1403731231828968
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,156.53900004508614,0.20932802682118964,245.12699997103482,0.1336776446653041
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,164.2819999005951,0.19946190099845076,247.49600004270178,0.1323980993403787
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,170.4490000520309,0.19224518765142248,243.07300009240862,0.13480723892634167
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,161.29799996633665,0.20315193001053192,240.9709999255938,0.1359831681410543
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,154.83399999993708,0.21163310384032782,240.64199999429547,0.13616908104477515
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,154.11999993375503,0.2126135479761522,234.98199993809976,0.13944897910747175
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,152.5210000181687,0.214842546246724,243.10799994964327,0.1347878309508016
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,1,1024,Reduce,338.21800002442615,0.09688425807506842,241.66500008959702,0.1355926592094482
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Reduce,166.15999993518926,0.3944150218197059,249.60600001122657,0.262557791066931
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Reduce,164.19900009623234,0.39912545120001475,255.8740000040416,0.2561260620421178
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Reduce,164.83400008837634,0.3975878760744909,261.6130000205885,0.25050742889245725
u280_reduce,xilinx_u280_xdma_201920_3,4,2,6,2,1024,Reduce,161.4589999689997,0.4058987112058354,247.935999936999,0.26432627781626233
