experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Allgather,754.2609999973138,0.08688769537366163,1147.803999970165,0.05709685625917272
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Allgather,716.1040000482899,0.09151743321581869,915.5790000363595,0.07157874961898146
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Allgather,607.1100000326624,0.10794748891712239,901.9299999977193,0.07266195824528036
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Allgather,632.9589999722884,0.10353909179404863,1028.2300000312716,0.06373671260127292
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Allgather,591.6329999990921,0.11077137346987162,938.7189999756629,0.06981428947501764
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Allgather,613.4120000069743,0.10683847071667148,820.3770000250188,0.0798852234984664
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Allgather,574.9709999918196,0.11398140080270557,965.7520000132536,0.06786007173591213
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Allgather,765.3520000303615,0.08562857351571589,963.5609999918415,0.0680143758418563
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Allgather,679.9230000069656,0.09638738504114232,1016.4020000047458,0.06447842487489595
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Allgather,633.5770000305274,0.1034380982845689,1059.935000000678,0.06183020656923121
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Allgather,756.3290000121015,0.1733002436742513,933.1599999882201,0.1404603712135696
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Allgather,567.7300000002106,0.2308703080688908,949.571000035121,0.13803285904387577
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Allgather,616.3360000073226,0.21266322265524448,1093.399000012596,0.11987572697477321
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Allgather,646.6920000320897,0.20268071971432466,935.4829999779213,0.14011157872788013
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Allgather,738.2370000073024,0.17754731881320426,991.522999981953,0.13219259664413802
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Allgather,682.4289999940447,0.1920668670310667,911.8929999658576,0.14373616203316342
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Allgather,750.3750000523723,0.17467532898997415,1053.698000021086,0.12439237807927608
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Allgather,706.1109999995097,0.18562520623540918,927.711000031195,0.14128537873927613
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Allgather,532.9550000396921,0.24593445973907432,839.3830000272828,0.156152793177536
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Allgather,702.869000008377,0.18648140691713228,1065.0120000263996,0.12307091375191168
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Allgather,774.1960000089421,0.33860159442437343,1025.6550000349307,0.25558691761954283
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Allgather,528.5450000087621,0.49597290674522365,843.5299999973722,0.3107702156423798
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Allgather,633.5180000291984,0.4137909262055978,991.0009999885006,0.2645244555787955
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Allgather,549.2880000019795,0.4772432676465812,927.8859999994893,0.28251746443005316
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Allgather,580.123000020194,0.45187658477749515,862.5639999877421,0.30391252127810264
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Allgather,598.2939999853443,0.4381524802294883,1022.3319999909108,0.25641768036443213
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Allgather,568.9440000082868,0.46075536431737013,900.3019999909156,0.2911734062599496
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Allgather,643.8919999709469,0.407124176122437,805.8690000325441,0.32529356507002205
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Allgather,623.4929999777705,0.4204441750097375,1003.8980000217634,0.2611261303382585
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Allgather,756.1790000067958,0.346669241009925,885.7619999957933,0.29595308898016054
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Allgather,554.0319999681742,0.9463135703896476,860.563000003367,0.6092383706921499
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Allgather,500.4309999776524,1.0476729060018524,991.011999985858,0.5290430388405809
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Allgather,470.8550000032119,1.1134807955664134,952.8690000024653,0.5502204395343363
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Allgather,632.159000019783,0.8293609677052654,953.4869999470175,0.5498638156882403
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Allgather,661.2679999875581,0.7928525197194852,792.3310000137462,0.6617032527957433
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Allgather,560.2049999993142,0.9358859703155842,1026.6109999861328,0.5106978203107915
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Allgather,492.1249999938482,1.0653553467240109,862.4120000035873,0.607932171627736
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Allgather,592.6260000137518,0.8846861257991279,906.6389999929925,0.5782764694702658
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Allgather,588.3270000026641,0.8911506696065722,1021.4929999960987,0.5132565764053227
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Allgather,660.5240000112644,0.7937455716840854,893.2780000350249,0.5869259065816498
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,16,1024,Allgather,698.6980000078802,1.5007571225167007,924.1099999712787,1.1346874290209927
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,16,1024,Allgather,648.4269999873504,1.6171072457199587,861.6640000127518,1.2169198202367537
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,16,1024,Allgather,616.2469999821951,1.7015514883322693,794.5189999531976,1.319762019614091
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,16,1024,Allgather,603.8310000349156,1.7365388659067977,1057.5480000056814,0.991516224317352
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,16,1024,Allgather,630.8019999892167,1.6622902273897753,900.6619999922805,1.164228090014886
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,16,1024,Allgather,644.7259999617927,1.6263901255140012,873.067999975774,1.2010244334107951
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,16,1024,Allgather,564.2630000011195,1.8583107522519104,944.9850000464721,1.1096218457948366
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,16,1024,Allgather,601.2559999817313,1.7439759437441957,1032.4010000317685,1.0156673617787408
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,16,1024,Allgather,597.710000022289,1.7543223301616133,1036.77599997809,1.0113814363200528
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,16,1024,Allgather,642.1609999733846,1.6328864568908106,1155.4870000054507,0.9074753761790948
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,32,1024,Allgather,591.0630000016681,3.548102317340252,927.923999995528,2.260047159045468
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,32,1024,Allgather,619.7229999997944,3.3840151164321735,802.8089999925214,2.6122676751500493
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,32,1024,Allgather,769.6409999766729,2.72484444054249,1070.275000017773,1.9594515427952395
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,32,1024,Allgather,533.6840000040866,3.929576303550306,991.8279999965307,2.114431131211597
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,32,1024,Allgather,766.3420000199039,2.736574531926387,1051.6259999917565,1.994199458758569
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,32,1024,Allgather,869.1460000136431,2.4128880532926353,1060.1870000073177,1.9780963169568435
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,32,1024,Allgather,507.7100000221435,4.130609993713998,1124.9920000295788,1.8641483672282653
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,32,1024,Allgather,625.553000020318,3.352476928304851,913.8280000229315,2.2949088887048483
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,32,1024,Allgather,762.9600000313985,2.748705043401613,1096.015999962674,1.9134319207670516
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,32,1024,Allgather,614.2709999608087,3.414050150721426,925.6419999701393,2.265618889449326
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,64,1024,Allgather,649.9859999848923,6.45291437061335,1056.273000017427,3.970852232264576
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,64,1024,Allgather,567.7590000345845,7.3874725010867435,1067.893999959324,3.927640758502024
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,64,1024,Allgather,709.4189999747869,5.912308523099984,885.86600003282,4.73469350877515
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,64,1024,Allgather,537.2889999648578,7.806420753587612,893.6039999980494,4.693694298603359
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,64,1024,Allgather,487.5240000501435,8.603276965992652,953.2589999707852,4.399962654565594
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,64,1024,Allgather,788.5450000344463,5.319042032879263,1007.1599999719183,4.164486278363861
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,64,1024,Allgather,795.5660000220632,5.272100617527245,984.6970000353394,4.259486928313453
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,64,1024,Allgather,709.2289999945933,5.913892409971919,930.5560000143487,4.507309608379642
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,64,1024,Allgather,649.1930000152024,6.460796712074499,986.0310000249228,4.2537242742814225
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,64,1024,Allgather,656.3100000107625,6.390736084976947,1007.8039999825705,4.161825116860559
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,128,1024,Allgather,673.0270000048222,12.463999215395365,962.1620000075382,8.718498547993248
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,128,1024,Allgather,701.9030000492421,11.951235426278982,965.7219999894551,8.686359014386746
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,128,1024,Allgather,758.8870000176939,11.053830148367826,992.2450000203753,8.454170088866906
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,128,1024,Allgather,555.3130000066631,15.106089718589962,909.487999990688,9.223440001501823
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,128,1024,Allgather,813.6899999726666,10.309341395718013,1008.1409999997959,8.320867815118817
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,128,1024,Allgather,860.2980000205207,9.750816577278927,1020.1149999602421,8.223198365210724
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,128,1024,Allgather,589.8999999658372,14.220389897416185,921.7580000040471,9.100661995841826
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,128,1024,Allgather,661.7600000140555,12.676208897216256,1075.4420000012033,7.800149147969499
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,128,1024,Allgather,600.8469999869703,13.96130462527384,970.0109999926099,8.647951415049839
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,128,1024,Allgather,532.8569999960564,15.742700199231843,935.5830000004062,8.96618258347614
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,256,1024,Allgather,779.4180000360029,21.52531247575117,982.493999970302,17.076151101693373
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,256,1024,Allgather,665.0159999708194,25.22828924527557,1055.1479999776348,15.900343838357855
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,256,1024,Allgather,787.0900000170877,21.31549886243729,1021.3420000013684,16.42663867732603
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,256,1024,Allgather,655.1160000185519,25.609534799218608,900.6799999724535,18.62727716893138
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,256,1024,Allgather,837.75300004163,20.026446935034908,960.1209999914317,17.47406420664658
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,256,1024,Allgather,730.2120000076684,22.975815242455358,1114.4389999913074,15.054404951846502
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,256,1024,Allgather,581.0590000123739,28.873515425529458,1045.0759999685033,16.053584620166987
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,256,1024,Allgather,720.2810000421778,23.29259830401964,952.0059999772457,17.623014981419235
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,256,1024,Allgather,685.9460000327999,24.458508394535084,1091.5080000017952,15.370676165426554
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,256,1024,Allgather,632.7590000410055,26.514385412001673,972.937999961232,17.243869599777696
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,512,1024,Allgather,855.3490000053898,39.22893695998775,1193.3039999689754,28.118930298459052
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,512,1024,Allgather,690.1099999936378,48.621860283591516,1068.8240000149563,31.393786067238818
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,512,1024,Allgather,663.1800000036492,50.59626647337882,1134.1640000068764,29.58516757699641
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,512,1024,Allgather,673.6700000260498,49.808410644236055,1054.7829999723035,31.811692073991594
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,512,1024,Allgather,654.0859999972781,51.29972511281335,1072.4510000272858,31.287613139571217
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,512,1024,Allgather,666.4080000291506,50.35118425729018,976.5069999616571,34.36169121298416
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,512,1024,Allgather,840.6459999719118,39.91505580365712,1044.3659999737065,32.12899692334372
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,512,1024,Allgather,702.0190000162074,47.79704252908444,1036.3810000058038,32.37654105952549
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,512,1024,Allgather,816.0440000324343,41.11841028016425,1115.5490000192003,30.078850861255287
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,512,1024,Allgather,635.9429999633903,52.76326966714257,1091.1169999872072,30.752368444807846
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1024,1024,Allgather,843.8180000212014,79.53002187475717,1312.4999999831743,51.130563048274524
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1024,1024,Allgather,824.968000017634,81.34723286062675,1429.00999998119,46.96178753184606
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1024,1024,Allgather,885.0140000049578,75.82802531894869,1202.256999988549,55.81906697206934
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1024,1024,Allgather,949.1189999835115,70.70648043202786,1176.2199999907352,57.054687048790704
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1024,1024,Allgather,761.0089999730008,88.18406090122575,1296.3969999759684,51.76567363334227
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1024,1024,Allgather,886.8840000104683,75.66814149224463,1221.8039999538632,54.92604706035838
u280_u250_allgather,xilinx_u280_xdma_201920_3,8,7,6,1024,1024,Allgather,832.1479999722214,80.64534674389677,1278.4319999923355,52.49310405277898
