experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_allreduce,xilinx_u280_xdma_201920_3,8,6,6,1,1024,Allreduce,886.8459999575862,75.67138376134021,1840.002999870194,36.47214923276446
u280_u250_allreduce,xilinx_u280_xdma_201920_3,8,6,6,1,1024,Allreduce,1169.5559999225225,57.37977831283466,1404.266000008647,47.789282087287425
u280_u250_allreduce,xilinx_u280_xdma_201920_3,8,6,6,1,1024,Allreduce,968.2059999249759,69.31258844212917,1370.9629999993922,48.95016422764856
u280_u250_allreduce,xilinx_u280_xdma_201920_3,8,6,6,1,1024,Allreduce,962.6119999666116,69.71538273190826,1320.6759999775386,50.8140255453581
u280_u250_allreduce,xilinx_u280_xdma_201920_3,8,6,6,1,1024,Allreduce,934.6580000055837,71.80044893383364,1194.3039999096072,56.19077220295606
u280_u250_allreduce,xilinx_u280_xdma_201920_3,8,6,6,1,1024,Allreduce,986.4579999430134,68.03012799721509,1267.677999976513,52.93841496124676
u280_u250_allreduce,xilinx_u280_xdma_201920_3,8,6,6,1,1024,Allreduce,966.7520000675722,69.41683492282338,1275.514000099065,52.61319279505194
u280_u250_allreduce,xilinx_u280_xdma_201920_3,8,6,6,1,1024,Allreduce,946.2959999382292,70.9174127380657,1270.3119998604961,52.82864682642516
u280_u250_allreduce,xilinx_u280_xdma_201920_3,8,6,6,1,1024,Allreduce,930.496000137282,72.12160395111748,1384.3060000908736,48.47834510259624
u280_u250_allreduce,xilinx_u280_xdma_201920_3,8,6,6,1,1024,Allreduce,1028.184999995574,65.26925018385688,1383.6180000907916,48.50245081778091
u280_u250_allreduce,xilinx_u280_xdma_201920_3,8,6,6,1,1024,Allreduce,998.2900000977679,67.2238167200189,1424.0570001220476,47.12512490318049
u280_u250_allreduce,xilinx_u280_xdma_201920_3,8,6,6,1,1024,Allreduce,996.1729999758973,67.36667627171558,1276.3820000145643,52.57741334430778
