experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Broadcast,609.120000007124,0.09414236931857325,1602.9230000071948,0.035774644196722244
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Broadcast,527.7519999822289,0.10865709651868863,861.335999985613,0.06657564527775203
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Broadcast,543.1529999953,0.10557614521229969,702.6870000004237,0.08160674667378992
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Broadcast,504.98199999537974,0.11355652280779248,706.1109999995097,0.08121102772799152
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Broadcast,490.14000001079694,0.11699514424192436,727.7610000073764,0.07879509893965021
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Broadcast,558.6730000004536,0.10264322779148705,791.4150000090103,0.07245756019199426
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Broadcast,536.5229999938492,0.10688078609986414,782.8290000020388,0.07325226837515045
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Broadcast,478.15499999614985,0.11992763852822147,691.7679999958182,0.08289484335838988
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Broadcast,400.9159999895928,0.14303245568021372,835.6800000228759,0.06861956729660908
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Broadcast,479.9929999990127,0.11946840891454241,800.9149999850251,0.07159810966341268
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Broadcast,511.45400001928465,0.22423913000128187,644.6040000014364,0.17792008737107504
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Broadcast,353.62900001700837,0.3243172929665946,730.094999994435,0.15708640656472675
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Broadcast,481.38200000380493,0.2382473794182032,755.791999978328,0.1517454537799932
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Broadcast,431.6870000025119,0.265673972112509,742.2350000183542,0.154517100375439
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Broadcast,425.88899998463603,0.2692908246142478,700.9679999896434,0.16361374556569555
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Broadcast,458.35499997792795,0.2502165352303843,775.4430000090906,0.14789997459343304
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Broadcast,497.4139999944782,0.23056850028602563,817.6089999949454,0.14027242850887042
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Broadcast,504.4459999794526,0.22735436499580045,780.0440000096387,0.14702760356926384
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Broadcast,412.41700000682613,0.2780874697165775,765.6379999900764,0.14979402798905814
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,2,1024,Broadcast,465.9690000039518,0.24612796130005932,763.1489999937457,0.15028257915680937
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Broadcast,527.4279999980536,0.4348953790865227,835.8439999938128,0.27442441412715524
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Broadcast,495.13600001205305,0.4632585794497195,942.729999991343,0.24331038579668232
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Broadcast,463.7549999984003,0.4946059880773063,864.7209999992356,0.2652601243640466
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Broadcast,530.8300000024246,0.4321082078988608,779.9799999759216,0.29407933537665193
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Broadcast,394.7120000020732,0.5811224386357527,746.4359999858061,0.30729493219025034
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Broadcast,439.0739999848847,0.5224085234103962,731.1739999806832,0.3137091855099605
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Broadcast,526.2029999926199,0.43590781505087783,760.9900000034031,0.30141788985265805
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Broadcast,511.0519999789176,0.4488310387386458,689.9040000121204,0.33247524292650904
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Broadcast,446.57699999106626,0.5136314678198578,647.3740000103589,0.35431759693211284
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,4,1024,Broadcast,451.7689999943286,0.5077285072744688,777.6500000034048,0.29496045778820257
experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Broadcast,503.5920000011629,0.9109596657590682,694.9270000120578,0.6601441590153213
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Broadcast,413.09000002343055,1.1105376551695259,689.2140000047675,0.6656161946751323
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Broadcast,494.97500000939,0.926818526170609,797.7440000104252,0.5750616739129406
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Broadcast,533.875999991551,0.8592856768374305,779.0170000134822,0.5888857367580689
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Broadcast,491.7720000037207,0.9328550629082769,874.716000026865,0.5244582241389324
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Broadcast,528.7440000074639,0.8676259210383932,824.1139999825009,0.5566608503310719
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Broadcast,539.1960000054041,0.8508074985634206,784.0789999988829,0.5850839009853007
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Broadcast,483.2299999861789,0.949345032413387,780.9079999958612,0.5874597263729292
u280_u250_bcast,xilinx_u280_xdma_201920_3,8,7,6,8,1024,Broadcast,413.1199999903856,1.1104570100955566,735.9159999964504,0.6233754939452502
