experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,333.0729999788673,0.1152900415297439,571.9989999874997,0.06713298449969175
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,264.3870000156312,0.14524163441368032,371.7460000416395,0.10329633673448751
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,231.39000001037857,0.16595358484929185,361.11800000071526,0.10633643296629894
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,230.05399998510256,0.16691733246318968,346.80900000694237,0.11072377014215697
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,221.74299999733194,0.17317344854386402,350.7189999822913,0.10948936328496295
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,237.47999995293867,0.1616978272174908,333.4289999656903,0.11516694709803689
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,219.49500001028355,0.17494703750974247,336.3710000030551,0.11415966299012469
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,236.3940000122966,0.16244067107457266,347.33899997263507,0.1105548182122518
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,294.01700004427767,0.13060469290625076,318.60499996128055,0.12052541549776895
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,246.50299997119873,0.15577903719016253,303.284999972675,0.12661358129633749
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,232.46400002108203,0.16518686762904158,318.03599995328113,0.12074104820096117
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,219.43399997326196,0.17499567070134547,314.7759999819755,0.12199151143098215
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,225.16799998584247,0.17053933064385,365.48299999594747,0.10506644632014563
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,246.07699998568933,0.15604871646774449,312.1889999988525,0.12300241200087494
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,196.42999995994614,0.19548948738904498,312.23500002397486,0.12298429066905206
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,232.2839999919779,0.165314873178205,347.33600000436127,0.11055577308288757
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,193.9869999887378,0.19795140912653614,322.01599998415986,0.11924873298807798
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,223.99799996719594,0.17143010207958823,330.3379999692879,0.11624457375043172
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,250.26800000205185,0.15343551712438336,327.17599998477453,0.11736802210977268
u280_u250_reduce,xilinx_u280_xdma_201920_3,5,4,6,1,1024,Reduce,231.16800002753735,0.16611295679084342,337.1550000110801,0.1138942029592859
