experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,357.3480000085283,0.02292443220559369,1297.5300000022116,0.0063135341764630004
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,706.5040000071576,0.011595121895866133,707.3319999904015,0.011581548692991644
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,399.34500000526896,0.020513591005000477,704.5469999980014,0.011627329333633155
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,398.2969999896113,0.020567566414544096,710.2900000006684,0.011533317377398372
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,372.47000000206754,0.02199371761471938,660.8919999990803,0.012395368683554045
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,420.69599999194907,0.019472493202114523,662.2140000018817,0.01237062339361101
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,375.15500000040447,0.021836307659477198,667.2510000100829,0.012277238999830964
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,360.91400001225793,0.02269792803748752,629.8830000019962,0.013005589926976976
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,407.70200000395107,0.02009310722027513,692.8170000009004,0.011824190226263723
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,403.6069999955316,0.020296972054723268,661.039999997115,0.012392593489101647
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,414.84999999852334,0.0197468964686734,647.0999999947935,0.012659558028227338
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,445.1099999869257,0.018404439352610873,736.130999996476,0.011128454038804528
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,376.27200001111305,0.021771484457408608,666.8999999988046,0.012283700704775356
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,323.13599999156395,0.025351554763981318,675.7780000015146,0.012122324195196706
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,307.4400000002697,0.02664584959664589,677.6289999947949,0.01208921105806116
u280_u250_scatter,xilinx_u280_xdma_201920_3,8,7,6,1,1024,Scatter,374.1670000039221,0.02189396713209377,711.1239999915142,0.011519791203921895
