experiment,board_instance,number of nodes,rank id,number of banks,buffer size[KB],segment_size[KB],collective name,execution_time[us],throughput[Gbps],execution_time_fullpath[us],throughput_fullpath[Gbps]
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,461.8199999981698,0.017738512840570923,941.3399999971261,0.00870248794274652
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,426.32999999625554,0.019215161963905776,673.8489999946751,0.012157026277496494
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,415.0310000028412,0.019738284609930146,621.9200000003866,0.0131721121687595
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,235.31399999399127,0.03481305829746289,613.9910000086957,0.013342215113713363
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,243.8530000006267,0.03359400950564047,483.0679999940912,0.016958275025669683
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,228.06799999841587,0.035919111844085534,460.7690000000275,0.017778973845895687
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,240.49799999659172,0.03406265332816113,487.0239999945625,0.016820526298686436
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,226.80600000057893,0.03611897392475988,599.1299999976718,0.01367315941453747
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,193.48300000388008,0.04233963707320912,561.0629999921457,0.014600855875569552
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,325.67800001004343,0.025153679400350563,463.7540000089757,0.01766453766402327
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,214.02299999806473,0.038276260028473924,486.7399999994859,0.016830340633620933
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,216.78299999905448,0.037788941014912286,469.1520000079663,0.017461291862468663
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,222.66799999215436,0.036790198862380954,461.9120000057819,0.017734979822774593
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,218.5819999880323,0.03747792590628928,553.3180000014681,0.014805229542466112
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,231.96800000846451,0.0353152158905585,479.81299999833027,0.017073318146920795
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,225.829000001454,0.03627523480131983,482.18799999233397,0.01698922412032286
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,222.43200000104935,0.03682923320368182,471.04899999794725,0.017390972064553156
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,176.19300000148996,0.0464944691328868,493.7799999993331,0.016590384381730862
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,215.94300000060684,0.03793593679802994,576.9140000069228,0.014199690074953454
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,397.25599999940187,0.020621463237842436,722.8730000008454,0.011332557724510972
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,212.49499999953514,0.0385514953293862,471.07899999332403,0.01738986454525906
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,221.70100000096227,0.03695066779114413,546.4159999917229,0.014992240344580124
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,219.62800001062988,0.037299433585897566,467.25400000013906,0.017532220162904035
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,211.8679999938422,0.038665584232815214,465.70599999995466,0.0175904970088442
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,220.5889999942201,0.03713693792625493,575.6869999942182,0.014229954819341542
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,226.55899999790563,0.03615835168797412,510.9259999898086,0.016033633050898576
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,211.4979999987554,0.038733226791970644,479.22800000321786,0.01709415977352115
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,217.85600000612249,0.0376028202104591,551.2030000005552,0.014862038123870424
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,395.87700000254245,0.020693296149933916,436.83600000576916,0.018753033174673812
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,222.86400000837148,0.03675784334702905,462.8769999897031,0.017698006166178563
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,222.27599998814185,0.03685508107234714,450.0370000073417,0.01820294775733186
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,220.71200000084445,0.03711624198035747,468.30799999497685,0.017492761174457555
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,212.89299999693867,0.03847942393652115,451.0380000084524,0.01816254949659781
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,220.8479999978863,0.0370933854962617,483.7370000103647,0.016934822020694046
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,213.30900000293695,0.03840438049912197,486.85500000544835,0.016826365139329624
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,208.5440000030303,0.03928187816422896,467.97500000650416,0.017505208611327833
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,181.38699999781238,0.045163104302396534,534.9240000072086,0.015314325025404738
u280_u250_sendrecv,xilinx_u250_gen3x16_xdma_shell_3_1,2,0,3,1,1024,Send/recv,218.92300000558862,0.03741954933831016,436.4010000017515,0.018771726004218874
