collective,number_of_nodes,rank_id,number_of_banks,size[B],rx_buffer_size[B],segment_size[B],max_pkt_size[B],execution_time[us],throughput[Gbps]
bcast_H2H,8,7,4,4194304,4194304,4194304,1536,3898.003000,0.000000
bcast_F2F,8,7,4,4194304,4194304,4194304,1536,3170.898000,0.000000
bcast_H2H,8,7,4,4194304,4194304,4194304,1536,3874.598000,0.000000
bcast_F2F,8,7,4,4194304,4194304,4194304,1536,3169.335000,0.000000
bcast_H2H,8,7,4,4194304,4194304,4194304,1536,3880.920000,0.000000
bcast_F2F,8,7,4,4194304,4194304,4194304,1536,3164.205000,0.000000
bcast_H2H,8,7,4,4194304,4194304,4194304,1536,3883.335000,0.000000
bcast_F2F,8,7,4,4194304,4194304,4194304,1536,3173.964000,0.000000
bcast_H2H,8,7,4,4194304,4194304,4194304,1536,3848.769000,0.000000
bcast_F2F,8,7,4,4194304,4194304,4194304,1536,3171.720000,0.000000
bcast_H2H,8,7,4,4194304,4194304,4194304,1536,3916.688000,0.000000
bcast_F2F,8,7,4,4194304,4194304,4194304,1536,3167.412000,0.000000
bcast_H2H,8,7,4,4194304,4194304,4194304,1536,3875.129000,0.000000
bcast_F2F,8,7,4,4194304,4194304,4194304,1536,3173.704000,0.000000
bcast_H2H,8,7,4,4194304,4194304,4194304,1536,3877.955000,0.000000
bcast_F2F,8,7,4,4194304,4194304,4194304,1536,3168.904000,0.000000
bcast_H2H,8,7,4,4194304,4194304,4194304,1536,3810.876000,0.000000
bcast_F2F,8,7,4,4194304,4194304,4194304,1536,3167.031000,0.000000
bcast_H2H,8,7,4,4194304,4194304,4194304,1536,3853.116000,0.000000
bcast_F2F,8,7,4,4194304,4194304,4194304,1536,3163.053000,0.000000
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3370.764000,9.954548
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3056.636000,10.977569
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3378.652000,9.931308
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3036.024000,11.052097
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3363.704000,9.975441
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3035.668000,11.053393
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3374.280000,9.944175
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3039.176000,11.040635
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3344.052000,10.034064
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3045.204000,11.018780
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3396.060000,9.880400
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3036.288000,11.051136
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3367.916000,9.962966
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3040.952000,11.034187
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3368.620000,9.960884
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3038.836000,11.041870
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3289.540000,10.200342
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3038.352000,11.043629
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3352.884000,10.007633
bcast_K2K,8,7,4,4194304,4194304,4194304,1536,3033.036000,11.062985
