collective,count,number_of_nodes,host_to_fpga,fpga_to_host,size
allgather,128,2,10.586324,11.12842,512
allgather,128,3,13.124664,14.522264,512
allgather,128,4,11.32304,11.421596,512
allgather,128,5,13.910732,14.806188,512
allgather,128,6,13.337536,13.849372,512
allgather,128,7,13.815368,14.427464,512
allgather,128,8,11.076436,12.035948,512
allgather,128,9,12.838184,14.49206,512
allgather,128,10,12.98818,14.121968,512
allgather,256,2,10.595948,11.280748,1024
allgather,256,3,10.701812,12.265988,1024
allgather,256,4,10.920032,11.544332,1024
allgather,256,5,11.16708,12.660216,1024
allgather,256,6,11.0235,12.451844,1024
allgather,256,7,11.661708,12.651536,1024
allgather,256,8,11.114504,12.446904,1024
allgather,256,9,10.538896,12.780088,1024
allgather,256,10,10.6154,12.333168,1024
allgather,512,2,10.667572,11.299872,2048
allgather,512,3,10.724272,12.474132,2048
allgather,512,4,10.992844,11.856548,2048
allgather,512,5,11.259924,13.199696,2048
allgather,512,6,11.583376,12.89324,2048
allgather,512,7,11.767756,13.217924,2048
allgather,512,8,11.246124,13.05276,2048
allgather,512,9,10.71962,13.46176,2048
allgather,512,10,10.667536,12.90404,2048
allgather,1024,2,10.5054,11.618112,4096
allgather,1024,3,10.65578,12.756532,4096
allgather,1024,4,11.238436,12.65742,4096
allgather,1024,5,11.18724,13.796572,4096
allgather,1024,6,11.470572,13.86572,4096
allgather,1024,7,11.55854,14.260348,4096
allgather,1024,8,11.247372,14.450872,4096
allgather,1024,9,10.582156,14.846468,4096
allgather,1024,10,10.707028,14.614948,4096
allgather,2048,2,10.912188,12.382076,8192
allgather,2048,3,10.97752,13.720964,8192
allgather,2048,4,11.748364,14.026072,8192
allgather,2048,5,11.504308,15.281128,8192
allgather,2048,6,11.689016,15.83228,8192
allgather,2048,7,11.625332,16.470188,8192
allgather,2048,8,11.3002,16.850736,8192
allgather,2048,9,43.094408,49.122552,8192
allgather,2048,10,10.992072,18.114676,8192
allgather,4096,2,11.567872,13.37754,16384
allgather,4096,3,11.718092,15.495164,16384
allgather,4096,4,12.233872,16.142048,16384
allgather,4096,5,11.846984,18.217548,16384
allgather,4096,6,12.065412,19.18258,16384
allgather,4096,7,12.059352,20.164832,16384
allgather,4096,8,11.764388,21.678832,16384
allgather,4096,9,11.38332,23.305448,16384
allgather,4096,10,11.482544,24.572436,16384
allgather,8192,2,12.491212,15.539084,32768
allgather,8192,3,12.46016,18.937644,32768
allgather,8192,4,12.56172,21.36224,32768
allgather,8192,5,12.629352,24.317596,32768
allgather,8192,6,13.009092,26.978752,32768
allgather,8192,7,12.61196,29.295164,32768
allgather,8192,8,12.839756,32.382036,32768
allgather,8192,9,12.550328,35.080352,32768
allgather,8192,10,12.682476,38.083324,32768
allgather,16384,2,15.083908,20.750388,65536
allgather,16384,3,15.340552,27.5045,65536
allgather,16384,4,15.263684,31.868192,65536
allgather,16384,5,15.302812,37.783092,65536
allgather,16384,6,15.204508,43.098296,65536
allgather,16384,7,15.2655,47.970056,65536
allgather,16384,8,15.848772,54.982572,65536
allgather,16384,9,15.560764,60.062788,65536
allgather,16384,10,16.141716,66.950276,65536
allgather,32768,2,20.201436,31.747808,131072
allgather,32768,3,20.725088,43.055876,131072
allgather,32768,4,21.098496,53.638908,131072
allgather,32768,5,20.997716,65.08948,131072
allgather,32768,6,21.366856,76.335164,131072
allgather,32768,7,21.453476,87.270544,131072
allgather,32768,8,20.736432,98.724528,131072
allgather,32768,9,32.117972,117.64034,131072
allgather,32768,10,32.642532,133.25548,131072
allgather,65536,2,30.8226,54.787072,262144
allgather,65536,3,32.260908,78.500044,262144
allgather,65536,4,33.114532,100.338304,262144
allgather,65536,5,31.63284,121.944648,262144
allgather,65536,6,42.138032,143.7678,262144
