benchmark;count;world_size;fpga_to_host;host_to_host;host_to_host_send;host_to_fpga
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;4e-08
broadcast;128;8;-7105.78;7105.78;;4e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;4e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;4e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;4e-08
broadcast;128;8;-7105.78;7105.78;;4e-08
broadcast;128;8;-7105.78;7105.78;;4e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;3.1e-08
broadcast;128;8;-7105.78;7105.78;;3.1e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3.1e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3.1e-08
broadcast;128;8;-7105.78;7105.78;;2e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.78;;3e-08
broadcast;128;8;-7105.78;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3.1e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3.1e-08
broadcast;128;8;-7105.79;7105.79;;2e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
broadcast;128;8;-7105.79;7105.79;;3e-08
