collective,number_of_nodes,rank_id,number_of_banks,size[B],rx_buffer_size[B],segment_size[B],max_pkt_size[B],execution_time[us],throughput[Gbps]
allgather,2,0,NA,4096,NA,NA,NA,74.492,0.439886
allgather,2,0,NA,4096,NA,NA,NA,49.504,0.661926
allgather,2,0,NA,4096,NA,NA,NA,62.219,0.526656
allgather,2,0,NA,4096,NA,NA,NA,60.946,0.537656
allgather,2,0,NA,4096,NA,NA,NA,73.46,0.446066
allgather,2,0,NA,4096,NA,NA,NA,62.079,0.527844
allgather,2,0,NA,4096,NA,NA,NA,63.04,0.519797
allgather,2,0,NA,4096,NA,NA,NA,67.178,0.487779
allgather,2,0,NA,4096,NA,NA,NA,60.776,0.53916
allgather,2,0,NA,4096,NA,NA,NA,58.682,0.5584
allgather,2,0,NA,4096,NA,NA,NA,65.405,0.501001
allgather,2,0,NA,4096,NA,NA,NA,65.275,0.501999
allgather,2,0,NA,4096,NA,NA,NA,58.07,0.564284
allgather,2,0,NA,4096,NA,NA,NA,66.487,0.492848
allgather,2,0,NA,4096,NA,NA,NA,57.68,0.5681
allgather,2,0,NA,4096,NA,NA,NA,161.127,0.203368
allgather,2,0,NA,4096,NA,NA,NA,66.817,0.490414
allgather,2,0,NA,4096,NA,NA,NA,73.029,0.448698
allgather,2,0,NA,4096,NA,NA,NA,60.576,0.54094
allgather,2,0,NA,4096,NA,NA,NA,76.386,0.428979
allgather,2,0,NA,4096,NA,NA,NA,62.278,0.526157
allgather,2,0,NA,4096,NA,NA,NA,100.401,0.326371
allgather,2,0,NA,4096,NA,NA,NA,107.815,0.303928
allgather,2,0,NA,4096,NA,NA,NA,94.42,0.347045
allgather,2,0,NA,4096,NA,NA,NA,96.124,0.340893
allgather,2,0,NA,4096,NA,NA,NA,79.331,0.413054
allgather,2,0,NA,4096,NA,NA,NA,84.992,0.385542
allgather,2,0,NA,4096,NA,NA,NA,105.06,0.311898
allgather,2,0,NA,4096,NA,NA,NA,97.115,0.337414
allgather,2,0,NA,4096,NA,NA,NA,82.748,0.395997
allgather,2,0,NA,4096,NA,NA,NA,104.51,0.313539
allgather,2,0,NA,4096,NA,NA,NA,102.615,0.31933
allgather,2,0,NA,4096,NA,NA,NA,110.28,0.297135
allgather,2,0,NA,4096,NA,NA,NA,97.075,0.337553
allgather,2,0,NA,4096,NA,NA,NA,111.533,0.293796
allgather,2,0,NA,4096,NA,NA,NA,89.24,0.36719
allgather,2,0,NA,4096,NA,NA,NA,101.764,0.322
allgather,2,0,NA,4096,NA,NA,NA,84.671,0.387004
allgather,2,0,NA,4096,NA,NA,NA,85.062,0.385225
allgather,2,0,NA,4096,NA,NA,NA,84.692,0.386908
allgather,2,0,NA,4096,NA,NA,NA,88.689,0.369471
allgather,2,0,NA,4096,NA,NA,NA,80.062,0.409283
allgather,2,0,NA,4096,NA,NA,NA,82.949,0.395038
allgather,2,0,NA,4096,NA,NA,NA,87.827,0.373097
allgather,2,0,NA,4096,NA,NA,NA,93.629,0.349977
allgather,2,0,NA,4096,NA,NA,NA,83.178,0.39395
allgather,2,0,NA,4096,NA,NA,NA,80.443,0.407344
allgather,2,0,NA,4096,NA,NA,NA,83.219,0.393756
allgather,2,0,NA,4096,NA,NA,NA,83.219,0.393756
allgather,2,0,NA,4096,NA,NA,NA,81.946,0.399873
allgather,2,0,NA,4096,NA,NA,NA,86.014,0.380961
allgather,2,0,NA,4096,NA,NA,NA,61.717,0.53094
allgather,2,0,NA,4096,NA,NA,NA,64.072,0.511425
allgather,2,0,NA,4096,NA,NA,NA,76.716,0.427134
allgather,2,0,NA,4096,NA,NA,NA,64.272,0.509833
allgather,2,0,NA,4096,NA,NA,NA,61.267,0.534839
allgather,2,0,NA,4096,NA,NA,NA,67.659,0.484311
allgather,2,0,NA,4096,NA,NA,NA,66.647,0.491665
allgather,2,0,NA,4096,NA,NA,NA,56.538,0.579575
allgather,2,0,NA,4096,NA,NA,NA,73.239,0.447412
allgather,2,0,NA,4096,NA,NA,NA,61.437,0.533359
allgather,2,0,NA,4096,NA,NA,NA,69.703,0.470109
allgather,2,0,NA,4096,NA,NA,NA,63.14,0.518974
allgather,2,0,NA,4096,NA,NA,NA,58.551,0.559649
allgather,2,0,NA,4096,NA,NA,NA,63.852,0.513187
allgather,2,0,NA,4096,NA,NA,NA,65.765,0.498259
allgather,2,0,NA,4096,NA,NA,NA,64.633,0.506986
allgather,2,0,NA,4096,NA,NA,NA,62.208,0.526749
allgather,2,0,NA,4096,NA,NA,NA,62.209,0.526741
allgather,2,0,NA,4096,NA,NA,NA,63.691,0.514484
allgather,2,0,NA,4096,NA,NA,NA,61.087,0.536415
allgather,2,0,NA,4096,NA,NA,NA,78.039,0.419893
allgather,2,0,NA,4096,NA,NA,NA,80.954,0.404773
allgather,2,0,NA,4096,NA,NA,NA,82.357,0.397878
allgather,2,0,NA,4096,NA,NA,NA,76.185,0.430111
allgather,2,0,NA,4096,NA,NA,NA,58.712,0.558114
allgather,2,0,NA,4096,NA,NA,NA,60.215,0.544183
allgather,2,0,NA,4096,NA,NA,NA,68.881,0.475719
allgather,2,0,NA,4096,NA,NA,NA,69.262,0.473102
allgather,2,0,NA,4096,NA,NA,NA,81.926,0.399971
allgather,2,0,NA,4096,NA,NA,NA,77.307,0.423868
allgather,2,0,NA,4096,NA,NA,NA,65.295,0.501845
allgather,2,0,NA,4096,NA,NA,NA,74.282,0.44113
allgather,2,0,NA,4096,NA,NA,NA,58.752,0.557734
allgather,2,0,NA,4096,NA,NA,NA,70.444,0.465164
allgather,2,0,NA,4096,NA,NA,NA,67.969,0.482102
allgather,2,0,NA,4096,NA,NA,NA,67.018,0.488943
allgather,2,0,NA,4096,NA,NA,NA,73.049,0.448576
allgather,2,0,NA,4096,NA,NA,NA,71.897,0.455763
allgather,2,0,NA,4096,NA,NA,NA,71.837,0.456144
allgather,2,0,NA,4096,NA,NA,NA,59.012,0.555277
allgather,2,0,NA,4096,NA,NA,NA,69.413,0.472073
allgather,2,0,NA,4096,NA,NA,NA,50.857,0.644316
allgather,2,0,NA,4096,NA,NA,NA,48.853,0.670747
allgather,2,0,NA,4096,NA,NA,NA,69.382,0.472284
allgather,2,0,NA,4096,NA,NA,NA,53.702,0.610182
allgather,2,0,NA,4096,NA,NA,NA,49.734,0.658865
allgather,2,0,NA,4096,NA,NA,NA,53.752,0.609615
allgather,2,0,NA,4096,NA,NA,NA,55.455,0.590894
allgather,2,0,NA,4096,NA,NA,NA,50.276,0.651762
allgather,2,0,NA,8192,NA,NA,NA,83.82,0.781866
allgather,2,0,NA,8192,NA,NA,NA,75.233,0.871107
