collective,number_of_nodes,rank_id,number_of_banks,size[B],rx_buffer_size[B],segment_size[B],max_pkt_size[B],execution_time[us],throughput[Gbps]
allreduce,2,0,NA,4096,NA,NA,NA,211.413,0.154995
allreduce,2,0,NA,4096,NA,NA,NA,214.248,0.152944
allreduce,2,0,NA,4096,NA,NA,NA,159.384,0.205592
allreduce,2,0,NA,4096,NA,NA,NA,216.192,0.151569
allreduce,2,0,NA,4096,NA,NA,NA,206.684,0.158542
allreduce,2,0,NA,4096,NA,NA,NA,146.95,0.222987
allreduce,2,0,NA,4096,NA,NA,NA,242.883,0.134913
allreduce,2,0,NA,4096,NA,NA,NA,197.427,0.165975
allreduce,2,0,NA,4096,NA,NA,NA,213.427,0.153533
allreduce,2,0,NA,4096,NA,NA,NA,206.825,0.158433
allreduce,2,0,NA,4096,NA,NA,NA,214.078,0.153066
allreduce,2,0,NA,4096,NA,NA,NA,255.447,0.128277
allreduce,2,0,NA,4096,NA,NA,NA,243.213,0.13473
allreduce,2,0,NA,4096,NA,NA,NA,232.634,0.140856
allreduce,2,0,NA,4096,NA,NA,NA,245.658,0.133389
allreduce,2,0,NA,4096,NA,NA,NA,257.511,0.127249
allreduce,2,0,NA,4096,NA,NA,NA,246.46,0.132955
allreduce,2,0,NA,4096,NA,NA,NA,256.368,0.127816
allreduce,2,0,NA,4096,NA,NA,NA,229.608,0.142713
allreduce,2,0,NA,4096,NA,NA,NA,246.86,0.132739
allreduce,2,0,NA,4096,NA,NA,NA,247.933,0.132165
allreduce,2,0,NA,4096,NA,NA,NA,260.326,0.125873
allreduce,2,0,NA,4096,NA,NA,NA,253.162,0.129435
allreduce,2,0,NA,4096,NA,NA,NA,252.131,0.129964
allreduce,2,0,NA,4096,NA,NA,NA,277.919,0.117905
allreduce,2,0,NA,4096,NA,NA,NA,256.76,0.127621
allreduce,2,0,NA,4096,NA,NA,NA,241.05,0.135939
allreduce,2,0,NA,4096,NA,NA,NA,259.334,0.126354
allreduce,2,0,NA,4096,NA,NA,NA,254.745,0.128631
allreduce,2,0,NA,4096,NA,NA,NA,239.908,0.136586
allreduce,2,0,NA,4096,NA,NA,NA,236.711,0.13843
allreduce,2,0,NA,4096,NA,NA,NA,251.79,0.13014
allreduce,2,0,NA,4096,NA,NA,NA,227.554,0.144001
allreduce,2,0,NA,4096,NA,NA,NA,237.002,0.13826
allreduce,2,0,NA,4096,NA,NA,NA,232.673,0.140833
allreduce,2,0,NA,4096,NA,NA,NA,227.905,0.143779
allreduce,2,0,NA,4096,NA,NA,NA,234.998,0.139439
allreduce,2,0,NA,4096,NA,NA,NA,228.155,0.143622
allreduce,2,0,NA,4096,NA,NA,NA,233.866,0.140114
allreduce,2,0,NA,4096,NA,NA,NA,189.992,0.17247
allreduce,2,0,NA,4096,NA,NA,NA,184.331,0.177767
allreduce,2,0,NA,4096,NA,NA,NA,190.443,0.172062
allreduce,2,0,NA,4096,NA,NA,NA,188.48,0.173854
allreduce,2,0,NA,4096,NA,NA,NA,191.555,0.171063
allreduce,2,0,NA,4096,NA,NA,NA,216.172,0.151583
allreduce,2,0,NA,4096,NA,NA,NA,172.91,0.189509
allreduce,2,0,NA,4096,NA,NA,NA,182.538,0.179513
allreduce,2,0,NA,4096,NA,NA,NA,183.369,0.1787
allreduce,2,0,NA,4096,NA,NA,NA,195.483,0.167626
allreduce,2,0,NA,4096,NA,NA,NA,195.302,0.167781
allreduce,2,0,NA,4096,NA,NA,NA,197.756,0.165699
allreduce,2,0,NA,4096,NA,NA,NA,214.228,0.152959
allreduce,2,0,NA,4096,NA,NA,NA,200.392,0.16352
allreduce,2,0,NA,4096,NA,NA,NA,267.289,0.122594
allreduce,2,0,NA,4096,NA,NA,NA,270.726,0.121038
allreduce,2,0,NA,4096,NA,NA,NA,283.921,0.115412
allreduce,2,0,NA,4096,NA,NA,NA,268.251,0.122154
allreduce,2,0,NA,4096,NA,NA,NA,268.682,0.121958
allreduce,2,0,NA,4096,NA,NA,NA,318.306,0.102945
allreduce,2,0,NA,4096,NA,NA,NA,314.52,0.104184
allreduce,2,0,NA,4096,NA,NA,NA,307.636,0.106515
allreduce,2,0,NA,4096,NA,NA,NA,313.808,0.104421
allreduce,2,0,NA,4096,NA,NA,NA,313.587,0.104494
allreduce,2,0,NA,4096,NA,NA,NA,305.553,0.107242
allreduce,2,0,NA,4096,NA,NA,NA,308.137,0.106342
allreduce,2,0,NA,4096,NA,NA,NA,296.385,0.110559
allreduce,2,0,NA,4096,NA,NA,NA,298.419,0.109805
allreduce,2,0,NA,4096,NA,NA,NA,239.386,0.136884
allreduce,2,0,NA,4096,NA,NA,NA,232.353,0.141027
allreduce,2,0,NA,4096,NA,NA,NA,175.564,0.186644
allreduce,2,0,NA,4096,NA,NA,NA,203.899,0.160707
allreduce,2,0,NA,4096,NA,NA,NA,196.435,0.166813
allreduce,2,0,NA,4096,NA,NA,NA,208.597,0.157088
allreduce,2,0,NA,4096,NA,NA,NA,205.832,0.159198
allreduce,2,0,NA,4096,NA,NA,NA,207.575,0.157861
allreduce,2,0,NA,4096,NA,NA,NA,206.824,0.158434
allreduce,2,0,NA,4096,NA,NA,NA,202.296,0.16198
allreduce,2,0,NA,4096,NA,NA,NA,193.639,0.169222
allreduce,2,0,NA,4096,NA,NA,NA,206.133,0.158965
allreduce,2,0,NA,4096,NA,NA,NA,212.074,0.154512
allreduce,2,0,NA,4096,NA,NA,NA,186.906,0.175318
allreduce,2,0,NA,4096,NA,NA,NA,167.8,0.19528
allreduce,2,0,NA,4096,NA,NA,NA,149.975,0.21849
allreduce,2,0,NA,4096,NA,NA,NA,163.141,0.200857
allreduce,2,0,NA,4096,NA,NA,NA,167.659,0.195444
allreduce,2,0,NA,4096,NA,NA,NA,166.107,0.19727
allreduce,2,0,NA,4096,NA,NA,NA,164.904,0.19871
allreduce,2,0,NA,4096,NA,NA,NA,168.471,0.194502
allreduce,2,0,NA,4096,NA,NA,NA,169.543,0.193273
allreduce,2,0,NA,4096,NA,NA,NA,159.925,0.204896
allreduce,2,0,NA,4096,NA,NA,NA,147.02,0.222881
allreduce,2,0,NA,4096,NA,NA,NA,140.007,0.234045
allreduce,2,0,NA,4096,NA,NA,NA,147.161,0.222668
allreduce,2,0,NA,4096,NA,NA,NA,152.972,0.214209
allreduce,2,0,NA,4096,NA,NA,NA,132.934,0.246498
allreduce,2,0,NA,4096,NA,NA,NA,130.208,0.251659
allreduce,2,0,NA,4096,NA,NA,NA,149.184,0.219648
allreduce,2,0,NA,4096,NA,NA,NA,114.589,0.285961
allreduce,2,0,NA,4096,NA,NA,NA,124.598,0.26299
allreduce,2,0,NA,4096,NA,NA,NA,94.68,0.346092
allreduce,2,0,NA,8192,NA,NA,NA,240.949,0.271991
allreduce,2,0,NA,8192,NA,NA,NA,227.463,0.288117
allreduce,2,0,NA,8192,NA,NA,NA,231.171,0.283496
allreduce,2,0,NA,8192,NA,NA,NA,217.925,0.300727
allreduce,2,0,NA,8192,NA,NA,NA,230.239,0.284643
allreduce,2,0,NA,8192,NA,NA,NA,210.26,0.31169
allreduce,2,0,NA,8192,NA,NA,NA,222.554,0.294472
allreduce,2,0,NA,8192,NA,NA,NA,289.582,0.226312
allreduce,2,0,NA,8192,NA,NA,NA,301.204,0.21758
allreduce,2,0,NA,8192,NA,NA,NA,286.385,0.228839
allreduce,2,0,NA,8192,NA,NA,NA,320.571,0.204435
allreduce,2,0,NA,8192,NA,NA,NA,384.222,0.170568
allreduce,2,0,NA,8192,NA,NA,NA,384.182,0.170586
allreduce,2,0,NA,8192,NA,NA,NA,385.394,0.170049
allreduce,2,0,NA,8192,NA,NA,NA,383.13,0.171054
allreduce,2,0,NA,8192,NA,NA,NA,386.576,0.169529
allreduce,2,0,NA,8192,NA,NA,NA,387.879,0.16896
allreduce,2,0,NA,8192,NA,NA,NA,381.958,0.171579
allreduce,2,0,NA,8192,NA,NA,NA,384.823,0.170302
allreduce,2,0,NA,8192,NA,NA,NA,378.732,0.173041
allreduce,2,0,NA,8192,NA,NA,NA,383.381,0.170942
allreduce,2,0,NA,8192,NA,NA,NA,384.022,0.170657
allreduce,2,0,NA,8192,NA,NA,NA,372.871,0.175761
allreduce,2,0,NA,8192,NA,NA,NA,383.27,0.170992
allreduce,2,0,NA,8192,NA,NA,NA,377.329,0.173684
allreduce,2,0,NA,8192,NA,NA,NA,394.612,0.166077
allreduce,2,0,NA,8192,NA,NA,NA,387.739,0.169021
allreduce,2,0,NA,8192,NA,NA,NA,387.588,0.169087
allreduce,2,0,NA,8192,NA,NA,NA,378.02,0.173366
allreduce,2,0,NA,8192,NA,NA,NA,389.543,0.168238
allreduce,2,0,NA,8192,NA,NA,NA,387.569,0.169095
allreduce,2,0,NA,8192,NA,NA,NA,345.117,0.189895
allreduce,2,0,NA,8192,NA,NA,NA,318.617,0.205689
allreduce,2,0,NA,8192,NA,NA,NA,307.356,0.213225
allreduce,2,0,NA,8192,NA,NA,NA,409.641,0.159984
allreduce,2,0,NA,8192,NA,NA,NA,321.793,0.203659
allreduce,2,0,NA,8192,NA,NA,NA,343.134,0.190992
allreduce,2,0,NA,8192,NA,NA,NA,316.494,0.207069
allreduce,2,0,NA,8192,NA,NA,NA,318.778,0.205585
allreduce,2,0,NA,8192,NA,NA,NA,324.348,0.202055
allreduce,2,0,NA,8192,NA,NA,NA,312.706,0.209577
allreduce,2,0,NA,8192,NA,NA,NA,318.457,0.205792
allreduce,2,0,NA,8192,NA,NA,NA,319.84,0.204902
allreduce,2,0,NA,8192,NA,NA,NA,318.196,0.205961
allreduce,2,0,NA,8192,NA,NA,NA,321.373,0.203925
allreduce,2,0,NA,8192,NA,NA,NA,308.548,0.212401
allreduce,2,0,NA,8192,NA,NA,NA,313.367,0.209135
allreduce,2,0,NA,8192,NA,NA,NA,286.907,0.228422
allreduce,2,0,NA,8192,NA,NA,NA,281.146,0.233103
allreduce,2,0,NA,8192,NA,NA,NA,210.842,0.31083
allreduce,2,0,NA,8192,NA,NA,NA,213.456,0.307023
allreduce,2,0,NA,8192,NA,NA,NA,215.29,0.304408
allreduce,2,0,NA,8192,NA,NA,NA,200.512,0.326843
allreduce,2,0,NA,8192,NA,NA,NA,220.991,0.296555
allreduce,2,0,NA,8192,NA,NA,NA,202.846,0.323083
allreduce,2,0,NA,8192,NA,NA,NA,203.789,0.321588
allreduce,2,0,NA,8192,NA,NA,NA,203.738,0.321668
allreduce,2,0,NA,8192,NA,NA,NA,202.366,0.323849
allreduce,2,0,NA,8192,NA,NA,NA,192.036,0.341269
allreduce,2,0,NA,8192,NA,NA,NA,202.376,0.323833
allreduce,2,0,NA,8192,NA,NA,NA,206.434,0.317467
allreduce,2,0,NA,8192,NA,NA,NA,194.991,0.336098
allreduce,2,0,NA,8192,NA,NA,NA,169.864,0.385815
allreduce,2,0,NA,8192,NA,NA,NA,160.025,0.409536
allreduce,2,0,NA,8192,NA,NA,NA,167.509,0.391239
allreduce,2,0,NA,8192,NA,NA,NA,140.337,0.46699
allreduce,2,0,NA,8192,NA,NA,NA,148.013,0.442772
allreduce,2,0,NA,8192,NA,NA,NA,134.165,0.488473
allreduce,2,0,NA,8192,NA,NA,NA,143.253,0.457484
allreduce,2,0,NA,8192,NA,NA,NA,135.398,0.484025
allreduce,2,0,NA,8192,NA,NA,NA,157.079,0.417217
allreduce,2,0,NA,8192,NA,NA,NA,130.158,0.503511
allreduce,2,0,NA,8192,NA,NA,NA,162.319,0.403748
allreduce,2,0,NA,8192,NA,NA,NA,151.429,0.432784
allreduce,2,0,NA,8192,NA,NA,NA,149.295,0.43897
allreduce,2,0,NA,8192,NA,NA,NA,153.522,0.426883
allreduce,2,0,NA,8192,NA,NA,NA,151.95,0.4313
allreduce,2,0,NA,8192,NA,NA,NA,138.634,0.472727
allreduce,2,0,NA,8192,NA,NA,NA,140.207,0.467423
allreduce,2,0,NA,8192,NA,NA,NA,143.864,0.455541
allreduce,2,0,NA,8192,NA,NA,NA,139.847,0.468626
allreduce,2,0,NA,8192,NA,NA,NA,140.909,0.465094
allreduce,2,0,NA,8192,NA,NA,NA,138.163,0.474338
allreduce,2,0,NA,8192,NA,NA,NA,130.378,0.502661
allreduce,2,0,NA,8192,NA,NA,NA,137.252,0.477487
allreduce,2,0,NA,8192,NA,NA,NA,151.189,0.433471
allreduce,2,0,NA,8192,NA,NA,NA,120.309,0.544731
allreduce,2,0,NA,8192,NA,NA,NA,114.458,0.572577
allreduce,2,0,NA,8192,NA,NA,NA,128.054,0.511784
allreduce,2,0,NA,8192,NA,NA,NA,162.77,0.402629
allreduce,2,0,NA,8192,NA,NA,NA,148.974,0.439916
allreduce,2,0,NA,8192,NA,NA,NA,135.719,0.48288
allreduce,2,0,NA,8192,NA,NA,NA,146.8,0.446431
allreduce,2,0,NA,8192,NA,NA,NA,122.864,0.533403
allreduce,2,0,NA,8192,NA,NA,NA,119.668,0.547648
allreduce,2,0,NA,8192,NA,NA,NA,148.483,0.44137
allreduce,2,0,NA,8192,NA,NA,NA,162.76,0.402654
allreduce,2,0,NA,8192,NA,NA,NA,161.818,0.404998
allreduce,2,0,NA,8192,NA,NA,NA,161.067,0.406887
allreduce,2,0,NA,8192,NA,NA,NA,154.124,0.425216
allreduce,2,0,NA,16384,NA,NA,NA,231.361,0.566526
allreduce,2,0,NA,16384,NA,NA,NA,210.16,0.623677
allreduce,2,0,NA,16384,NA,NA,NA,234.266,0.559501
allreduce,2,0,NA,16384,NA,NA,NA,241.16,0.543506
allreduce,2,0,NA,16384,NA,NA,NA,236.09,0.555178
allreduce,2,0,NA,16384,NA,NA,NA,231.3,0.566675
allreduce,2,0,NA,16384,NA,NA,NA,230.369,0.568965
allreduce,2,0,NA,16384,NA,NA,NA,223.015,0.587727
allreduce,2,0,NA,16384,NA,NA,NA,219.959,0.595893
allreduce,2,0,NA,16384,NA,NA,NA,162.7,0.805605
allreduce,2,0,NA,16384,NA,NA,NA,163.201,0.803132
allreduce,2,0,NA,16384,NA,NA,NA,177.619,0.737939
allreduce,2,0,NA,16384,NA,NA,NA,181.085,0.723815
allreduce,2,0,NA,16384,NA,NA,NA,168.561,0.777594
allreduce,2,0,NA,16384,NA,NA,NA,156.568,0.837157
allreduce,2,0,NA,16384,NA,NA,NA,152.361,0.860273
allreduce,2,0,NA,16384,NA,NA,NA,149.455,0.877
allreduce,2,0,NA,16384,NA,NA,NA,149.776,0.87512
allreduce,2,0,NA,16384,NA,NA,NA,174.102,0.752846
allreduce,2,0,NA,16384,NA,NA,NA,180.804,0.72494
allreduce,2,0,NA,16384,NA,NA,NA,163.431,0.802002
allreduce,2,0,NA,16384,NA,NA,NA,165.085,0.793967
allreduce,2,0,NA,16384,NA,NA,NA,177.859,0.736943
allreduce,2,0,NA,16384,NA,NA,NA,165.164,0.793587
allreduce,2,0,NA,16384,NA,NA,NA,148.874,0.880422
allreduce,2,0,NA,16384,NA,NA,NA,168.591,0.777455
allreduce,2,0,NA,16384,NA,NA,NA,159.354,0.822521
allreduce,2,0,NA,16384,NA,NA,NA,163.552,0.801409
allreduce,2,0,NA,16384,NA,NA,NA,158.381,0.827574
allreduce,2,0,NA,16384,NA,NA,NA,225.47,0.581328
allreduce,2,0,NA,16384,NA,NA,NA,226.111,0.57968
allreduce,2,0,NA,16384,NA,NA,NA,237.082,0.552855
allreduce,2,0,NA,16384,NA,NA,NA,226.732,0.578092
allreduce,2,0,NA,16384,NA,NA,NA,239.757,0.546687
allreduce,2,0,NA,16384,NA,NA,NA,226.381,0.578989
allreduce,2,0,NA,16384,NA,NA,NA,228.776,0.572927
allreduce,2,0,NA,16384,NA,NA,NA,231.792,0.565472
allreduce,2,0,NA,16384,NA,NA,NA,226.231,0.579372
allreduce,2,0,NA,16384,NA,NA,NA,243.294,0.538739
allreduce,2,0,NA,16384,NA,NA,NA,227.624,0.575827
allreduce,2,0,NA,16384,NA,NA,NA,180.193,0.727398
allreduce,2,0,NA,16384,NA,NA,NA,154.795,0.846746
allreduce,2,0,NA,16384,NA,NA,NA,163.361,0.802346
allreduce,2,0,NA,16384,NA,NA,NA,161.648,0.810848
allreduce,2,0,NA,16384,NA,NA,NA,161.929,0.809441
allreduce,2,0,NA,16384,NA,NA,NA,162.049,0.808842
allreduce,2,0,NA,16384,NA,NA,NA,169.413,0.773683
allreduce,2,0,NA,16384,NA,NA,NA,162.039,0.808892
allreduce,2,0,NA,16384,NA,NA,NA,161.858,0.809796
allreduce,2,0,NA,16384,NA,NA,NA,160.986,0.814183
allreduce,2,0,NA,16384,NA,NA,NA,158.843,0.825167
allreduce,2,0,NA,16384,NA,NA,NA,161.829,0.809941
allreduce,2,0,NA,16384,NA,NA,NA,164.945,0.794641
allreduce,2,0,NA,16384,NA,NA,NA,155.857,0.840976
allreduce,2,0,NA,16384,NA,NA,NA,161.016,0.814031
allreduce,2,0,NA,16384,NA,NA,NA,159.744,0.820513
allreduce,2,0,NA,16384,NA,NA,NA,162.52,0.806498
allreduce,2,0,NA,16384,NA,NA,NA,159.994,0.819231
allreduce,2,0,NA,16384,NA,NA,NA,160.736,0.815449
allreduce,2,0,NA,16384,NA,NA,NA,159.905,0.819687
allreduce,2,0,NA,16384,NA,NA,NA,159.053,0.824078
allreduce,2,0,NA,16384,NA,NA,NA,158.653,0.826155
allreduce,2,0,NA,16384,NA,NA,NA,171.757,0.763125
allreduce,2,0,NA,16384,NA,NA,NA,158.913,0.824804
allreduce,2,0,NA,16384,NA,NA,NA,158.602,0.826421
allreduce,2,0,NA,16384,NA,NA,NA,157.63,0.831517
allreduce,2,0,NA,16384,NA,NA,NA,232.984,0.562579
allreduce,2,0,NA,16384,NA,NA,NA,142.542,0.919532
allreduce,2,0,NA,16384,NA,NA,NA,130.789,1.00216
allreduce,2,0,NA,16384,NA,NA,NA,143.123,0.9158
allreduce,2,0,NA,16384,NA,NA,NA,174.302,0.751982
allreduce,2,0,NA,16384,NA,NA,NA,131.009,1.00048
allreduce,2,0,NA,16384,NA,NA,NA,136.019,0.96363
allreduce,2,0,NA,16384,NA,NA,NA,126.291,1.03786
allreduce,2,0,NA,16384,NA,NA,NA,126.331,1.03753
allreduce,2,0,NA,16384,NA,NA,NA,165.295,0.792958
allreduce,2,0,NA,16384,NA,NA,NA,136.27,0.961855
allreduce,2,0,NA,16384,NA,NA,NA,145.898,0.898381
allreduce,2,0,NA,16384,NA,NA,NA,132.663,0.988007
allreduce,2,0,NA,16384,NA,NA,NA,144.766,0.905406
allreduce,2,0,NA,16384,NA,NA,NA,132.613,0.98838
allreduce,2,0,NA,16384,NA,NA,NA,136.691,0.958893
allreduce,2,0,NA,16384,NA,NA,NA,148.312,0.883759
allreduce,2,0,NA,16384,NA,NA,NA,163.371,0.802297
allreduce,2,0,NA,16384,NA,NA,NA,273.782,0.478746
allreduce,2,0,NA,16384,NA,NA,NA,178.901,0.732651
allreduce,2,0,NA,16384,NA,NA,NA,132.342,0.990404
allreduce,2,0,NA,16384,NA,NA,NA,132.823,0.986817
allreduce,2,0,NA,16384,NA,NA,NA,101.764,1.288
allreduce,2,0,NA,16384,NA,NA,NA,104.98,1.24854
allreduce,2,0,NA,16384,NA,NA,NA,174.252,0.752198
allreduce,2,0,NA,16384,NA,NA,NA,173.271,0.756457
allreduce,2,0,NA,16384,NA,NA,NA,134.947,0.971285
allreduce,2,0,NA,16384,NA,NA,NA,190.173,0.689225
allreduce,2,0,NA,16384,NA,NA,NA,160.035,0.819021
allreduce,2,0,NA,16384,NA,NA,NA,136.711,0.958752
allreduce,2,0,NA,16384,NA,NA,NA,163.562,0.80136
allreduce,2,0,NA,16384,NA,NA,NA,125.168,1.04717
allreduce,2,0,NA,16384,NA,NA,NA,132.863,0.98652
allreduce,2,0,NA,16384,NA,NA,NA,149.365,0.877528
allreduce,2,0,NA,32768,NA,NA,NA,176.286,1.48704
allreduce,2,0,NA,32768,NA,NA,NA,284.031,0.922942
allreduce,2,0,NA,32768,NA,NA,NA,141.68,1.85025
allreduce,2,0,NA,32768,NA,NA,NA,126.521,2.07194
allreduce,2,0,NA,32768,NA,NA,NA,127.533,2.0555
allreduce,2,0,NA,32768,NA,NA,NA,137.532,1.90606
allreduce,2,0,NA,32768,NA,NA,NA,175.505,1.49366
allreduce,2,0,NA,32768,NA,NA,NA,163.051,1.60774
allreduce,2,0,NA,32768,NA,NA,NA,162.43,1.61389
allreduce,2,0,NA,32768,NA,NA,NA,163.211,1.60617
allreduce,2,0,NA,32768,NA,NA,NA,159.113,1.64753
allreduce,2,0,NA,32768,NA,NA,NA,171.025,1.53278
allreduce,2,0,NA,32768,NA,NA,NA,171.297,1.53035
allreduce,2,0,NA,32768,NA,NA,NA,178.04,1.47239
allreduce,2,0,NA,32768,NA,NA,NA,168.812,1.55288
allreduce,2,0,NA,32768,NA,NA,NA,216.071,1.21323
allreduce,2,0,NA,32768,NA,NA,NA,232.453,1.12773
allreduce,2,0,NA,32768,NA,NA,NA,188.108,1.39358
allreduce,2,0,NA,32768,NA,NA,NA,226.482,1.15746
allreduce,2,0,NA,32768,NA,NA,NA,232.593,1.12705
allreduce,2,0,NA,32768,NA,NA,NA,232.052,1.12968
allreduce,2,0,NA,32768,NA,NA,NA,230.62,1.13669
allreduce,2,0,NA,32768,NA,NA,NA,196.995,1.33071
allreduce,2,0,NA,32768,NA,NA,NA,233.104,1.12458
allreduce,2,0,NA,32768,NA,NA,NA,195.693,1.33957
allreduce,2,0,NA,32768,NA,NA,NA,202.706,1.29322
allreduce,2,0,NA,32768,NA,NA,NA,163.031,1.60794
allreduce,2,0,NA,32768,NA,NA,NA,152.601,1.71784
allreduce,2,0,NA,32768,NA,NA,NA,167.8,1.56224
allreduce,2,0,NA,32768,NA,NA,NA,164.694,1.5917
allreduce,2,0,NA,32768,NA,NA,NA,177.038,1.48072
