collective,number_of_nodes,rank_id,number_of_banks,size[B],rx_buffer_size[B],segment_size[B],max_pkt_size[B],execution_time[us],throughput[Gbps]
bcast,2,0,NA,4096,NA,NA,NA,47.921,0.683792
bcast,2,0,NA,4096,NA,NA,NA,82.187,0.398701
bcast,2,0,NA,4096,NA,NA,NA,52.881,0.619655
bcast,2,0,NA,4096,NA,NA,NA,62.028,0.528278
bcast,2,0,NA,4096,NA,NA,NA,68.04,0.481599
bcast,2,0,NA,4096,NA,NA,NA,76.946,0.425857
bcast,2,0,NA,4096,NA,NA,NA,71.355,0.459225
bcast,2,0,NA,4096,NA,NA,NA,194.921,0.168109
bcast,2,0,NA,4096,NA,NA,NA,72.699,0.450735
bcast,2,0,NA,4096,NA,NA,NA,71.907,0.4557
bcast,2,0,NA,4096,NA,NA,NA,72.688,0.450803
bcast,2,0,NA,4096,NA,NA,NA,80.714,0.405977
bcast,2,0,NA,4096,NA,NA,NA,85.583,0.38288
bcast,2,0,NA,4096,NA,NA,NA,71.657,0.45729
bcast,2,0,NA,4096,NA,NA,NA,74.492,0.439886
bcast,2,0,NA,4096,NA,NA,NA,72.198,0.453863
bcast,2,0,NA,4096,NA,NA,NA,69.312,0.472761
bcast,2,0,NA,4096,NA,NA,NA,60.275,0.543642
bcast,2,0,NA,4096,NA,NA,NA,59.824,0.54774
bcast,2,0,NA,4096,NA,NA,NA,65.975,0.496673
bcast,2,0,NA,4096,NA,NA,NA,59.564,0.550131
bcast,2,0,NA,4096,NA,NA,NA,61.597,0.531974
bcast,2,0,NA,4096,NA,NA,NA,64.092,0.511265
bcast,2,0,NA,4096,NA,NA,NA,62.94,0.520623
bcast,2,0,NA,4096,NA,NA,NA,65.545,0.499931
bcast,2,0,NA,4096,NA,NA,NA,79.812,0.410565
bcast,2,0,NA,4096,NA,NA,NA,90.111,0.36364
bcast,2,0,NA,4096,NA,NA,NA,73.27,0.447223
bcast,2,0,NA,4096,NA,NA,NA,87.596,0.374081
bcast,2,0,NA,4096,NA,NA,NA,89.04,0.368014
bcast,2,0,NA,4096,NA,NA,NA,78.169,0.419194
bcast,2,0,NA,4096,NA,NA,NA,80.684,0.406128
bcast,2,0,NA,4096,NA,NA,NA,80.193,0.408614
bcast,2,0,NA,4096,NA,NA,NA,79.031,0.414622
bcast,2,0,NA,4096,NA,NA,NA,95.702,0.342396
bcast,2,0,NA,4096,NA,NA,NA,82.107,0.399089
bcast,2,0,NA,4096,NA,NA,NA,83.499,0.392436
bcast,2,0,NA,4096,NA,NA,NA,86.394,0.379286
bcast,2,0,NA,4096,NA,NA,NA,91.564,0.35787
bcast,2,0,NA,4096,NA,NA,NA,101.994,0.321274
bcast,2,0,NA,4096,NA,NA,NA,77.748,0.421464
bcast,2,0,NA,4096,NA,NA,NA,91.364,0.358653
bcast,2,0,NA,4096,NA,NA,NA,125.96,0.260146
bcast,2,0,NA,4096,NA,NA,NA,118.886,0.275625
bcast,2,0,NA,4096,NA,NA,NA,127.132,0.257748
bcast,2,0,NA,4096,NA,NA,NA,105.701,0.310007
bcast,2,0,NA,4096,NA,NA,NA,118.876,0.275649
bcast,2,0,NA,4096,NA,NA,NA,119.017,0.275322
bcast,2,0,NA,4096,NA,NA,NA,127.312,0.257383
bcast,2,0,NA,4096,NA,NA,NA,118.736,0.275974
bcast,2,0,NA,4096,NA,NA,NA,127.914,0.256172
bcast,2,0,NA,4096,NA,NA,NA,119.458,0.274306
bcast,2,0,NA,4096,NA,NA,NA,121.932,0.26874
bcast,2,0,NA,4096,NA,NA,NA,127.433,0.257139
bcast,2,0,NA,4096,NA,NA,NA,127.653,0.256696
bcast,2,0,NA,4096,NA,NA,NA,127.272,0.257464
bcast,2,0,NA,4096,NA,NA,NA,128.225,0.255551
bcast,2,0,NA,4096,NA,NA,NA,128.315,0.255372
bcast,2,0,NA,4096,NA,NA,NA,96.654,0.339024
bcast,2,0,NA,4096,NA,NA,NA,85.102,0.385044
bcast,2,0,NA,4096,NA,NA,NA,96.744,0.338708
bcast,2,0,NA,4096,NA,NA,NA,87.998,0.372372
bcast,2,0,NA,4096,NA,NA,NA,91.104,0.359677
bcast,2,0,NA,4096,NA,NA,NA,91.895,0.356581
bcast,2,0,NA,4096,NA,NA,NA,90.933,0.360353
bcast,2,0,NA,4096,NA,NA,NA,90.332,0.362751
bcast,2,0,NA,4096,NA,NA,NA,90.722,0.361191
bcast,2,0,NA,4096,NA,NA,NA,91.674,0.35744
bcast,2,0,NA,4096,NA,NA,NA,93.739,0.349566
bcast,2,0,NA,4096,NA,NA,NA,92.006,0.356151
bcast,2,0,NA,4096,NA,NA,NA,90.793,0.360909
bcast,2,0,NA,4096,NA,NA,NA,86.004,0.381006
bcast,2,0,NA,4096,NA,NA,NA,90.222,0.363193
bcast,2,0,NA,4096,NA,NA,NA,88.589,0.369888
bcast,2,0,NA,4096,NA,NA,NA,79.973,0.409738
bcast,2,0,NA,4096,NA,NA,NA,80.834,0.405374
bcast,2,0,NA,4096,NA,NA,NA,96.534,0.339445
bcast,2,0,NA,4096,NA,NA,NA,87.176,0.375883
bcast,2,0,NA,4096,NA,NA,NA,83.64,0.391774
bcast,2,0,NA,4096,NA,NA,NA,86.705,0.377925
bcast,2,0,NA,4096,NA,NA,NA,84.431,0.388104
bcast,2,0,NA,4096,NA,NA,NA,84.211,0.389118
bcast,2,0,NA,4096,NA,NA,NA,83.399,0.392906
bcast,2,0,NA,4096,NA,NA,NA,84.11,0.389585
bcast,2,0,NA,4096,NA,NA,NA,85.413,0.383642
bcast,2,0,NA,4096,NA,NA,NA,83.95,0.390328
bcast,2,0,NA,4096,NA,NA,NA,86.876,0.377181
bcast,2,0,NA,4096,NA,NA,NA,84.171,0.389303
bcast,2,0,NA,4096,NA,NA,NA,84.311,0.388656
bcast,2,0,NA,4096,NA,NA,NA,84.381,0.388334
bcast,2,0,NA,4096,NA,NA,NA,85.182,0.384682
bcast,2,0,NA,4096,NA,NA,NA,83.83,0.390886
bcast,2,0,NA,4096,NA,NA,NA,83.309,0.393331
bcast,2,0,NA,4096,NA,NA,NA,83.81,0.39098
bcast,2,0,NA,4096,NA,NA,NA,84.17,0.389307
bcast,2,0,NA,4096,NA,NA,NA,84.591,0.38737
bcast,2,0,NA,4096,NA,NA,NA,83.94,0.390374
