collective,number_of_nodes,rank_id,number_of_banks,size[B],rx_buffer_size[B],segment_size[B],max_pkt_size[B],execution_time[us],throughput[Gbps]
gather,2,0,NA,4096,NA,NA,NA,51.198,0.640025
gather,2,0,NA,4096,NA,NA,NA,78.78,0.415943
gather,2,0,NA,4096,NA,NA,NA,46.409,0.70607
gather,2,0,NA,4096,NA,NA,NA,35.017,0.935774
gather,2,0,NA,4096,NA,NA,NA,25.569,1.28155
gather,2,0,NA,4096,NA,NA,NA,40.117,0.816811
gather,2,0,NA,4096,NA,NA,NA,15.32,2.1389
gather,2,0,NA,4096,NA,NA,NA,25.248,1.29785
gather,2,0,NA,4096,NA,NA,NA,24.878,1.31715
gather,2,0,NA,4096,NA,NA,NA,68.431,0.478847
gather,2,0,NA,4096,NA,NA,NA,26.22,1.24973
gather,2,0,NA,4096,NA,NA,NA,33.715,0.971912
gather,2,0,NA,4096,NA,NA,NA,50.536,0.648409
gather,2,0,NA,4096,NA,NA,NA,55.005,0.595728
gather,2,0,NA,4096,NA,NA,NA,59.403,0.551622
gather,2,0,NA,4096,NA,NA,NA,37.912,0.864317
gather,2,0,NA,4096,NA,NA,NA,29.817,1.09897
gather,2,0,NA,4096,NA,NA,NA,45.677,0.717385
gather,2,0,NA,4096,NA,NA,NA,42.582,0.769527
gather,2,0,NA,4096,NA,NA,NA,29.406,1.11433
gather,2,0,NA,4096,NA,NA,NA,35.267,0.929141
gather,2,0,NA,4096,NA,NA,NA,27.532,1.19018
gather,2,0,NA,4096,NA,NA,NA,25.729,1.27358
gather,2,0,NA,4096,NA,NA,NA,42.671,0.767922
gather,2,0,NA,4096,NA,NA,NA,34.896,0.939019
gather,2,0,NA,4096,NA,NA,NA,32.492,1.00849
gather,2,0,NA,4096,NA,NA,NA,28.074,1.1672
gather,2,0,NA,4096,NA,NA,NA,24.457,1.33982
gather,2,0,NA,4096,NA,NA,NA,32.251,1.01603
gather,2,0,NA,4096,NA,NA,NA,30.519,1.07369
gather,2,0,NA,4096,NA,NA,NA,26.871,1.21946
gather,2,0,NA,4096,NA,NA,NA,41.94,0.781307
gather,2,0,NA,4096,NA,NA,NA,34.886,0.939288
gather,2,0,NA,4096,NA,NA,NA,46.098,0.710833
gather,2,0,NA,4096,NA,NA,NA,48.222,0.679524
gather,2,0,NA,4096,NA,NA,NA,49.445,0.662716
