collective,number_of_nodes,rank_id,number_of_banks,size[B],rx_buffer_size[B],segment_size[B],max_pkt_size[B],execution_time[us],throughput[Gbps]
reduce,2,0,NA,4096,NA,NA,NA,187.457,0.174803
reduce,2,0,NA,4096,NA,NA,NA,176.496,0.185659
reduce,2,0,NA,4096,NA,NA,NA,146.279,0.22401
reduce,2,0,NA,4096,NA,NA,NA,142.892,0.22932
reduce,2,0,NA,4096,NA,NA,NA,149.726,0.218853
reduce,2,0,NA,4096,NA,NA,NA,144.175,0.227279
reduce,2,0,NA,4096,NA,NA,NA,151.639,0.216092
reduce,2,0,NA,4096,NA,NA,NA,147.641,0.221944
reduce,2,0,NA,4096,NA,NA,NA,149.746,0.218824
reduce,2,0,NA,4096,NA,NA,NA,149.676,0.218926
reduce,2,0,NA,4096,NA,NA,NA,149.265,0.219529
reduce,2,0,NA,4096,NA,NA,NA,148.483,0.220685
reduce,2,0,NA,4096,NA,NA,NA,133.325,0.245775
reduce,2,0,NA,4096,NA,NA,NA,136.881,0.23939
reduce,2,0,NA,4096,NA,NA,NA,138.193,0.237118
reduce,2,0,NA,4096,NA,NA,NA,143.143,0.228918
reduce,2,0,NA,4096,NA,NA,NA,147.682,0.221882
reduce,2,0,NA,4096,NA,NA,NA,144.315,0.227059
reduce,2,0,NA,4096,NA,NA,NA,147.371,0.22235
reduce,2,0,NA,4096,NA,NA,NA,145.828,0.224703
reduce,2,0,NA,4096,NA,NA,NA,147.571,0.222049
reduce,2,0,NA,4096,NA,NA,NA,146.249,0.224056
reduce,2,0,NA,4096,NA,NA,NA,141.2,0.232068
reduce,2,0,NA,4096,NA,NA,NA,144.756,0.226367
reduce,2,0,NA,4096,NA,NA,NA,143.493,0.22836
reduce,2,0,NA,4096,NA,NA,NA,146.859,0.223126
reduce,2,0,NA,4096,NA,NA,NA,146.509,0.223659
reduce,2,0,NA,4096,NA,NA,NA,140.889,0.23258
reduce,2,0,NA,4096,NA,NA,NA,146.529,0.223628
reduce,2,0,NA,4096,NA,NA,NA,141.46,0.231641
reduce,2,0,NA,4096,NA,NA,NA,135.669,0.241529
reduce,2,0,NA,4096,NA,NA,NA,195.963,0.167215
reduce,2,0,NA,4096,NA,NA,NA,144.105,0.22739
reduce,2,0,NA,4096,NA,NA,NA,195.373,0.16772
reduce,2,0,NA,4096,NA,NA,NA,142.131,0.230548
reduce,2,0,NA,4096,NA,NA,NA,183.099,0.178963
reduce,2,0,NA,4096,NA,NA,NA,193.82,0.169064
reduce,2,0,NA,4096,NA,NA,NA,198.398,0.165163
reduce,2,0,NA,4096,NA,NA,NA,191.715,0.17092
reduce,2,0,NA,4096,NA,NA,NA,194.831,0.168187
reduce,2,0,NA,4096,NA,NA,NA,201.534,0.162593
reduce,2,0,NA,4096,NA,NA,NA,141.65,0.231331
reduce,2,0,NA,4096,NA,NA,NA,191.855,0.170796
reduce,2,0,NA,4096,NA,NA,NA,194.07,0.168846
reduce,2,0,NA,4096,NA,NA,NA,143.724,0.227993
reduce,2,0,NA,4096,NA,NA,NA,194.01,0.168899
reduce,2,0,NA,4096,NA,NA,NA,144.144,0.227328
reduce,2,0,NA,4096,NA,NA,NA,196.955,0.166373
reduce,2,0,NA,4096,NA,NA,NA,184.311,0.177786
reduce,2,0,NA,4096,NA,NA,NA,169.433,0.193398
reduce,2,0,NA,4096,NA,NA,NA,172.169,0.190325
reduce,2,0,NA,4096,NA,NA,NA,170.635,0.192036
reduce,2,0,NA,4096,NA,NA,NA,170.224,0.192499
reduce,2,0,NA,4096,NA,NA,NA,172.889,0.189532
reduce,2,0,NA,4096,NA,NA,NA,170.274,0.192443
reduce,2,0,NA,4096,NA,NA,NA,169.823,0.192954
reduce,2,0,NA,4096,NA,NA,NA,172.909,0.18951
reduce,2,0,NA,4096,NA,NA,NA,170.585,0.192092
reduce,2,0,NA,4096,NA,NA,NA,173,0.18941
reduce,2,0,NA,4096,NA,NA,NA,168.281,0.194722
reduce,2,0,NA,4096,NA,NA,NA,186.936,0.17529
reduce,2,0,NA,4096,NA,NA,NA,179.732,0.182316
reduce,2,0,NA,4096,NA,NA,NA,190.262,0.172226
reduce,2,0,NA,4096,NA,NA,NA,148.844,0.22015
reduce,2,0,NA,4096,NA,NA,NA,179.592,0.182458
reduce,2,0,NA,4096,NA,NA,NA,177.137,0.184987
reduce,2,0,NA,4096,NA,NA,NA,179.793,0.182254
reduce,2,0,NA,4096,NA,NA,NA,216.532,0.151331
reduce,2,0,NA,4096,NA,NA,NA,149.355,0.219397
reduce,2,0,NA,4096,NA,NA,NA,222.975,0.146958
reduce,2,0,NA,4096,NA,NA,NA,147.431,0.22226
reduce,2,0,NA,4096,NA,NA,NA,221.922,0.147655
reduce,2,0,NA,4096,NA,NA,NA,150.678,0.21747
reduce,2,0,NA,4096,NA,NA,NA,221.993,0.147608
reduce,2,0,NA,4096,NA,NA,NA,214.028,0.153101
reduce,2,0,NA,4096,NA,NA,NA,193.168,0.169635
reduce,2,0,NA,4096,NA,NA,NA,215.681,0.151928
reduce,2,0,NA,4096,NA,NA,NA,201.734,0.162432
reduce,2,0,NA,4096,NA,NA,NA,192.897,0.169873
reduce,2,0,NA,4096,NA,NA,NA,197.386,0.16601
reduce,2,0,NA,4096,NA,NA,NA,189.902,0.172552
reduce,2,0,NA,4096,NA,NA,NA,197.968,0.165522
reduce,2,0,NA,4096,NA,NA,NA,188.589,0.173754
reduce,2,0,NA,4096,NA,NA,NA,196.955,0.166373
reduce,2,0,NA,4096,NA,NA,NA,102.104,0.320928
reduce,2,0,NA,4096,NA,NA,NA,190.242,0.172244
reduce,2,0,NA,4096,NA,NA,NA,145.046,0.225915
reduce,2,0,NA,4096,NA,NA,NA,172.258,0.190226
reduce,2,0,NA,4096,NA,NA,NA,139.146,0.235494
reduce,2,0,NA,4096,NA,NA,NA,115.339,0.284102
reduce,2,0,NA,4096,NA,NA,NA,121.883,0.268848
reduce,2,0,NA,4096,NA,NA,NA,119.608,0.273962
reduce,2,0,NA,4096,NA,NA,NA,100.431,0.326274
reduce,2,0,NA,4096,NA,NA,NA,122.213,0.268122
reduce,2,0,NA,4096,NA,NA,NA,119.889,0.273319
reduce,2,0,NA,4096,NA,NA,NA,120.981,0.270852
reduce,2,0,NA,4096,NA,NA,NA,115.35,0.284075
reduce,2,0,NA,4096,NA,NA,NA,123.565,0.265188
reduce,2,0,NA,4096,NA,NA,NA,120.359,0.272252
reduce,2,0,NA,4096,NA,NA,NA,120.79,0.271281
reduce,2,0,NA,8192,NA,NA,NA,112.675,0.581637
reduce,2,0,NA,8192,NA,NA,NA,124.567,0.52611
reduce,2,0,NA,8192,NA,NA,NA,117.664,0.556976
reduce,2,0,NA,8192,NA,NA,NA,121.231,0.540588
reduce,2,0,NA,8192,NA,NA,NA,104.49,0.627199
reduce,2,0,NA,8192,NA,NA,NA,109.078,0.600818
reduce,2,0,NA,8192,NA,NA,NA,113.847,0.57565
reduce,2,0,NA,8192,NA,NA,NA,104.128,0.629379
reduce,2,0,NA,8192,NA,NA,NA,203.237,0.322461
reduce,2,0,NA,8192,NA,NA,NA,106.263,0.616734
reduce,2,0,NA,8192,NA,NA,NA,114.518,0.572277
reduce,2,0,NA,8192,NA,NA,NA,108.657,0.603146
reduce,2,0,NA,8192,NA,NA,NA,101.714,0.644316
reduce,2,0,NA,8192,NA,NA,NA,98.839,0.663058
reduce,2,0,NA,8192,NA,NA,NA,99.329,0.659787
reduce,2,0,NA,8192,NA,NA,NA,98.458,0.665624
reduce,2,0,NA,8192,NA,NA,NA,104.259,0.628588
reduce,2,0,NA,8192,NA,NA,NA,95.632,0.685294
reduce,2,0,NA,8192,NA,NA,NA,106.363,0.616154
reduce,2,0,NA,8192,NA,NA,NA,101.684,0.644507
reduce,2,0,NA,8192,NA,NA,NA,98.027,0.668551
reduce,2,0,NA,8192,NA,NA,NA,89.991,0.728251
reduce,2,0,NA,8192,NA,NA,NA,126.601,0.517658
reduce,2,0,NA,8192,NA,NA,NA,122.233,0.536156
reduce,2,0,NA,8192,NA,NA,NA,117.855,0.556073
reduce,2,0,NA,8192,NA,NA,NA,137.983,0.474957
reduce,2,0,NA,8192,NA,NA,NA,119.037,0.550552
reduce,2,0,NA,8192,NA,NA,NA,135.648,0.483133
reduce,2,0,NA,8192,NA,NA,NA,126.461,0.518231
reduce,2,0,NA,8192,NA,NA,NA,136.971,0.478466
reduce,2,0,NA,8192,NA,NA,NA,128.044,0.511824
reduce,2,0,NA,8192,NA,NA,NA,128.515,0.509948
reduce,2,0,NA,8192,NA,NA,NA,133.234,0.491886
reduce,2,0,NA,8192,NA,NA,NA,125.9,0.52054
reduce,2,0,NA,8192,NA,NA,NA,137.412,0.476931
reduce,2,0,NA,8192,NA,NA,NA,114.859,0.570578
reduce,2,0,NA,8192,NA,NA,NA,130.359,0.502735
reduce,2,0,NA,8192,NA,NA,NA,125.399,0.52262
reduce,2,0,NA,8192,NA,NA,NA,126.401,0.518477
reduce,2,0,NA,8192,NA,NA,NA,126.762,0.517
reduce,2,0,NA,8192,NA,NA,NA,119.828,0.546917
