collective,number_of_nodes,rank_id,number_of_banks,size[B],rx_buffer_size[B],segment_size[B],max_pkt_size[B],execution_time[us],throughput[Gbps]
scatter,2,0,NA,4096,NA,NA,NA,143.915,0.22769
scatter,2,0,NA,4096,NA,NA,NA,114.618,0.285889
scatter,2,0,NA,4096,NA,NA,NA,114.328,0.286614
scatter,2,0,NA,4096,NA,NA,NA,105.411,0.310859
scatter,2,0,NA,4096,NA,NA,NA,105.892,0.309447
scatter,2,0,NA,4096,NA,NA,NA,101.173,0.323881
scatter,2,0,NA,4096,NA,NA,NA,98.518,0.332609
scatter,2,0,NA,4096,NA,NA,NA,118.886,0.275625
scatter,2,0,NA,4096,NA,NA,NA,108.897,0.300908
scatter,2,0,NA,4096,NA,NA,NA,81.225,0.403423
scatter,2,0,NA,4096,NA,NA,NA,81.245,0.403323
scatter,2,0,NA,4096,NA,NA,NA,79.542,0.411958
scatter,2,0,NA,4096,NA,NA,NA,81.416,0.402476
scatter,2,0,NA,4096,NA,NA,NA,72.759,0.450364
scatter,2,0,NA,4096,NA,NA,NA,83.75,0.39126
scatter,2,0,NA,4096,NA,NA,NA,72.979,0.449006
scatter,2,0,NA,4096,NA,NA,NA,72.889,0.44956
scatter,2,0,NA,4096,NA,NA,NA,60.325,0.543191
scatter,2,0,NA,4096,NA,NA,NA,66.607,0.49196
scatter,2,0,NA,4096,NA,NA,NA,62.97,0.520375
scatter,2,0,NA,4096,NA,NA,NA,65.575,0.499703
scatter,2,0,NA,4096,NA,NA,NA,76.546,0.428082
scatter,2,0,NA,4096,NA,NA,NA,62.368,0.525398
scatter,2,0,NA,4096,NA,NA,NA,67.078,0.488506
scatter,2,0,NA,4096,NA,NA,NA,72.308,0.453173
scatter,2,0,NA,4096,NA,NA,NA,63.671,0.514646
scatter,2,0,NA,4096,NA,NA,NA,41.99,0.780376
scatter,2,0,NA,4096,NA,NA,NA,39.536,0.828814
scatter,2,0,NA,4096,NA,NA,NA,74.161,0.441849
scatter,2,0,NA,4096,NA,NA,NA,40.818,0.802783
scatter,2,0,NA,4096,NA,NA,NA,55.496,0.590457
scatter,2,0,NA,4096,NA,NA,NA,51.408,0.637411
scatter,2,0,NA,4096,NA,NA,NA,48.292,0.678539
scatter,2,0,NA,4096,NA,NA,NA,65.194,0.502623
scatter,2,0,NA,4096,NA,NA,NA,47.841,0.684936
scatter,2,0,NA,4096,NA,NA,NA,55.556,0.589819
scatter,2,0,NA,4096,NA,NA,NA,38.714,0.846412
scatter,2,0,NA,4096,NA,NA,NA,39.776,0.823813
scatter,2,0,NA,4096,NA,NA,NA,48.162,0.68037
scatter,2,0,NA,4096,NA,NA,NA,64.714,0.506351
scatter,2,0,NA,4096,NA,NA,NA,64.453,0.508401
scatter,2,0,NA,4096,NA,NA,NA,64.102,0.511185
scatter,2,0,NA,4096,NA,NA,NA,50.426,0.649824
scatter,2,0,NA,4096,NA,NA,NA,38.844,0.843579
scatter,2,0,NA,4096,NA,NA,NA,51.929,0.631015
scatter,2,0,NA,4096,NA,NA,NA,47.951,0.683364
scatter,2,0,NA,4096,NA,NA,NA,39.736,0.824643
scatter,2,0,NA,4096,NA,NA,NA,61.087,0.536415
scatter,2,0,NA,4096,NA,NA,NA,40.898,0.801213
scatter,2,0,NA,4096,NA,NA,NA,54.494,0.601314
scatter,2,0,NA,4096,NA,NA,NA,65.184,0.5027
scatter,2,0,NA,4096,NA,NA,NA,59.193,0.553579
scatter,2,0,NA,4096,NA,NA,NA,64.152,0.510787
scatter,2,0,NA,4096,NA,NA,NA,64.102,0.511185
scatter,2,0,NA,4096,NA,NA,NA,63.792,0.513669
scatter,2,0,NA,4096,NA,NA,NA,67.519,0.485315
scatter,2,0,NA,4096,NA,NA,NA,41.158,0.796151
scatter,2,0,NA,4096,NA,NA,NA,56.648,0.578449
scatter,2,0,NA,4096,NA,NA,NA,58.702,0.558209
scatter,2,0,NA,4096,NA,NA,NA,64.994,0.50417
scatter,2,0,NA,4096,NA,NA,NA,56.838,0.576516
scatter,2,0,NA,4096,NA,NA,NA,75.363,0.434802
scatter,2,0,NA,4096,NA,NA,NA,76.125,0.43045
scatter,2,0,NA,4096,NA,NA,NA,68.601,0.477661
scatter,2,0,NA,4096,NA,NA,NA,64.854,0.505258
scatter,2,0,NA,4096,NA,NA,NA,63.531,0.51578
scatter,2,0,NA,4096,NA,NA,NA,49.725,0.658984
scatter,2,0,NA,4096,NA,NA,NA,98.778,0.331734
scatter,2,0,NA,4096,NA,NA,NA,63.732,0.514153
scatter,2,0,NA,4096,NA,NA,NA,65.114,0.50324
scatter,2,0,NA,4096,NA,NA,NA,70.194,0.466821
scatter,2,0,NA,4096,NA,NA,NA,49.214,0.665827
scatter,2,0,NA,4096,NA,NA,NA,62.198,0.526834
scatter,2,0,NA,4096,NA,NA,NA,67.849,0.482955
scatter,2,0,NA,4096,NA,NA,NA,62.109,0.527589
scatter,2,0,NA,4096,NA,NA,NA,64.202,0.510389
scatter,2,0,NA,4096,NA,NA,NA,46.759,0.700785
scatter,2,0,NA,4096,NA,NA,NA,63.681,0.514565
scatter,2,0,NA,4096,NA,NA,NA,49.555,0.661245
scatter,2,0,NA,4096,NA,NA,NA,48.462,0.676159
scatter,2,0,NA,4096,NA,NA,NA,59.684,0.549025
scatter,2,0,NA,4096,NA,NA,NA,60.315,0.543281
scatter,2,0,NA,4096,NA,NA,NA,58.291,0.562145
scatter,2,0,NA,4096,NA,NA,NA,58.432,0.560789
scatter,2,0,NA,4096,NA,NA,NA,73.761,0.444246
scatter,2,0,NA,4096,NA,NA,NA,59.242,0.553121
scatter,2,0,NA,4096,NA,NA,NA,57.7,0.567903
