collective,number_of_nodes,rank_id,number_of_banks,size[B],rx_buffer_size[B],segment_size[B],max_pkt_size[B],execution_time[us],throughput[Gbps]
sendrecv,2,0,NA,4096,NA,NA,NA,116.011,0.282456
sendrecv,2,0,NA,4096,NA,NA,NA,118.465,0.276605
sendrecv,2,0,NA,4096,NA,NA,NA,108.016,0.303362
sendrecv,2,0,NA,4096,NA,NA,NA,109.799,0.298436
sendrecv,2,0,NA,4096,NA,NA,NA,109.99,0.297918
sendrecv,2,0,NA,4096,NA,NA,NA,112.334,0.291702
sendrecv,2,0,NA,4096,NA,NA,NA,88.859,0.368764
sendrecv,2,0,NA,4096,NA,NA,NA,79.011,0.414727
sendrecv,2,0,NA,4096,NA,NA,NA,64.874,0.505102
sendrecv,2,0,NA,4096,NA,NA,NA,87.617,0.373991
sendrecv,2,0,NA,4096,NA,NA,NA,50.215,0.652554
sendrecv,2,0,NA,4096,NA,NA,NA,86.275,0.379809
sendrecv,2,0,NA,4096,NA,NA,NA,83.699,0.391498
sendrecv,2,0,NA,4096,NA,NA,NA,75.694,0.432901
sendrecv,2,0,NA,4096,NA,NA,NA,75.674,0.433015
sendrecv,2,0,NA,4096,NA,NA,NA,77.007,0.42552
sendrecv,2,0,NA,4096,NA,NA,NA,68.802,0.476265
sendrecv,2,0,NA,4096,NA,NA,NA,75.524,0.433875
sendrecv,2,0,NA,4096,NA,NA,NA,78.75,0.416102
sendrecv,2,0,NA,4096,NA,NA,NA,75.063,0.43654
sendrecv,2,0,NA,4096,NA,NA,NA,76.135,0.430393
sendrecv,2,0,NA,4096,NA,NA,NA,75.264,0.435374
sendrecv,2,0,NA,4096,NA,NA,NA,96.063,0.341109
sendrecv,2,0,NA,4096,NA,NA,NA,94.34,0.347339
sendrecv,2,0,NA,4096,NA,NA,NA,95.832,0.341932
sendrecv,2,0,NA,4096,NA,NA,NA,78.55,0.417161
sendrecv,2,0,NA,4096,NA,NA,NA,80.704,0.406027
sendrecv,2,0,NA,4096,NA,NA,NA,81.074,0.404174
sendrecv,2,0,NA,4096,NA,NA,NA,79.472,0.412321
sendrecv,2,0,NA,4096,NA,NA,NA,81.836,0.400411
sendrecv,2,0,NA,4096,NA,NA,NA,81.165,0.403721
sendrecv,2,0,NA,4096,NA,NA,NA,72.267,0.45343
sendrecv,2,0,NA,4096,NA,NA,NA,81.426,0.402427
sendrecv,2,0,NA,4096,NA,NA,NA,73.921,0.443284
sendrecv,2,0,NA,4096,NA,NA,NA,82.518,0.397101
sendrecv,2,0,NA,4096,NA,NA,NA,88.077,0.372038
sendrecv,2,0,NA,4096,NA,NA,NA,85.994,0.38105
sendrecv,2,0,NA,4096,NA,NA,NA,87.887,0.372842
sendrecv,2,0,NA,4096,NA,NA,NA,86.004,0.381006
sendrecv,2,0,NA,4096,NA,NA,NA,87.146,0.376013
sendrecv,2,0,NA,4096,NA,NA,NA,85.994,0.38105
sendrecv,2,0,NA,4096,NA,NA,NA,92.066,0.355919
sendrecv,2,0,NA,4096,NA,NA,NA,87.818,0.373135
sendrecv,2,0,NA,4096,NA,NA,NA,91.485,0.358179
sendrecv,2,0,NA,4096,NA,NA,NA,86.185,0.380205
sendrecv,2,0,NA,4096,NA,NA,NA,92.005,0.356155
sendrecv,2,0,NA,4096,NA,NA,NA,91.264,0.359046
sendrecv,2,0,NA,4096,NA,NA,NA,90.904,0.360468
sendrecv,2,0,NA,4096,NA,NA,NA,91.484,0.358183
sendrecv,2,0,NA,4096,NA,NA,NA,91.575,0.357827
sendrecv,2,0,NA,4096,NA,NA,NA,91.475,0.358218
sendrecv,2,0,NA,4096,NA,NA,NA,91.114,0.359637
sendrecv,2,0,NA,4096,NA,NA,NA,90.502,0.362069
sendrecv,2,0,NA,4096,NA,NA,NA,90.563,0.361825
sendrecv,2,0,NA,4096,NA,NA,NA,90.913,0.360433
sendrecv,2,0,NA,4096,NA,NA,NA,90.392,0.36251
sendrecv,2,0,NA,4096,NA,NA,NA,90.443,0.362306
sendrecv,2,0,NA,4096,NA,NA,NA,83.228,0.393714
sendrecv,2,0,NA,4096,NA,NA,NA,85.603,0.38279
