benchmark;count;world_size;fpga_to_host;host_to_host;host_to_host_send;host_to_fpga
broadcast;128;3;3e-08;6.322e-06;9.32e-07;3e-08
broadcast;128;3;3e-08;6.452e-06;8.11e-07;3e-08
broadcast;128;3;2e-08;6.081e-06;8.11e-07;3e-08
broadcast;128;3;3.1e-08;6.091e-06;8.11e-07;3e-08
broadcast;128;3;3.1e-08;6.141e-06;8.01e-07;3e-08
broadcast;128;3;3.1e-08;5.931e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;6.212e-06;8.12e-07;2e-08
broadcast;128;3;3e-08;6.082e-06;8.11e-07;3e-08
broadcast;128;3;3.1e-08;6.081e-06;8.11e-07;3e-08
broadcast;128;3;2.1e-08;6.141e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;6.162e-06;8.01e-07;3e-08
broadcast;128;3;3e-08;6.032e-06;8.01e-07;3e-08
broadcast;128;3;3e-08;6.262e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;5.961e-06;8.12e-07;3e-08
broadcast;128;3;2e-08;6.012e-06;8.11e-07;3e-08
broadcast;128;3;2e-08;6.102e-06;8.22e-07;3e-08
broadcast;128;3;3e-08;6.232e-06;8.61e-07;3e-08
broadcast;128;3;3e-08;5.962e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.181e-06;8.71e-07;3.1e-08
broadcast;128;3;3e-08;6.072e-06;8.62e-07;3e-08
broadcast;128;3;3e-08;6.051e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;6.002e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.141e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;6.022e-06;8.12e-07;3e-08
broadcast;128;3;3.1e-08;6.051e-06;8.21e-07;3e-08
broadcast;128;3;2e-08;6.021e-06;8.21e-07;3e-08
broadcast;128;3;3e-08;6.062e-06;8.72e-07;3.1e-08
broadcast;128;3;3e-08;6.071e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;6.132e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;5.971e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.142e-06;9.32e-07;2e-08
broadcast;128;3;3e-08;6.111e-06;8.12e-07;2e-08
broadcast;128;3;3e-08;6.122e-06;8.02e-07;3e-08
broadcast;128;3;2e-08;6.041e-06;8.22e-07;3e-08
broadcast;128;3;3e-08;6.011e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.322e-06;5.3e-06;3e-08
broadcast;128;3;3e-08;6.092e-06;8.32e-07;3e-08
broadcast;128;3;3e-08;6.052e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;6.091e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.082e-06;8.01e-07;2e-08
broadcast;128;3;3e-08;6.102e-06;8.02e-07;3e-08
broadcast;128;3;3e-08;6.021e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;6.122e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.272e-06;8.12e-07;3e-08
broadcast;128;3;3.1e-08;6.411e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;5.992e-06;8.01e-07;3e-08
broadcast;128;3;3e-08;6.102e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.071e-06;8.11e-07;3e-08
broadcast;128;3;2e-08;6.162e-06;8.21e-07;3e-08
broadcast;128;3;3e-08;6.052e-06;8.12e-07;2e-08
broadcast;128;3;3e-08;6.091e-06;8.01e-07;3e-08
broadcast;128;3;3e-08;6.082e-06;8.02e-07;3.1e-08
broadcast;128;3;2e-08;6.091e-06;8.21e-07;3e-08
broadcast;128;3;3e-08;6.152e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.092e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;6.102e-06;8.62e-07;3e-08
broadcast;128;3;3e-08;6.051e-06;8.11e-07;2e-08
broadcast;128;3;3e-08;6.042e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.012e-06;8.01e-07;3e-08
broadcast;128;3;3e-08;6.202e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;6.071e-06;8.02e-07;3e-08
broadcast;128;3;2e-08;5.982e-06;8.11e-07;3e-08
broadcast;128;3;2e-08;6.222e-06;8.12e-07;2e-08
broadcast;128;3;3e-08;5.921e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;5.961e-06;8.11e-07;3.1e-08
broadcast;128;3;3e-08;6.082e-06;8.02e-07;3e-08
broadcast;128;3;3e-08;6.031e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;5.881e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.071e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.082e-06;8.01e-07;3e-08
broadcast;128;3;3e-08;6.082e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.132e-06;8.11e-07;2e-08
broadcast;128;3;3e-08;6.142e-06;8.22e-07;3e-08
broadcast;128;3;2e-08;6.072e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.041e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;6.122e-06;8.12e-07;2e-08
broadcast;128;3;3e-08;6.122e-06;8.62e-07;2e-08
broadcast;128;3;3e-08;6.252e-06;8.01e-07;3e-08
broadcast;128;3;3e-08;6.081e-06;8.11e-07;2e-08
broadcast;128;3;3e-08;6.132e-06;8.62e-07;3e-08
broadcast;128;3;3e-08;6.472e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.092e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;6.111e-06;8.12e-07;3e-08
broadcast;128;3;3.1e-08;6.141e-06;8.01e-07;3e-08
broadcast;128;3;2e-08;3.667e-05;8.11e-07;3e-08
broadcast;128;3;3e-08;6.121e-06;8.12e-07;3e-08
broadcast;128;3;3e-08;6.102e-06;8.01e-07;3e-08
broadcast;128;3;3e-08;6.222e-06;8.12e-07;3e-08
broadcast;128;3;2e-08;6.182e-06;8.11e-07;3e-08
broadcast;128;3;3e-08;6.102e-06;8.12e-07;3e-08
broadcast;128;3;2e-08;6.122e-06;8.21e-07;3e-08
broadcast;128;3;3e-08;6.162e-06;8.02e-07;3e-08
broadcast;128;3;3e-08;6.162e-06;8.42e-07;3e-08
broadcast;128;3;3e-08;6.132e-06;8.41e-07;3e-08
broadcast;128;3;4e-08;6.132e-06;8.32e-07;3e-08
broadcast;128;3;3e-08;6.162e-06;8.41e-07;3e-08
broadcast;128;3;3.1e-08;6.201e-06;8.41e-07;3e-08
broadcast;128;3;3e-08;6.172e-06;8.32e-07;2e-08
broadcast;128;3;4e-08;6.152e-06;8.31e-07;3e-08
broadcast;128;3;3e-08;6.192e-06;8.42e-07;3e-08
broadcast;128;3;3e-08;6.382e-06;8.41e-07;3.1e-08
broadcast;128;3;4e-08;6.202e-06;8.32e-07;3e-08
broadcast;128;3;3e-08;6.242e-06;8.62e-07;3e-08
broadcast;128;3;4e-08;6.141e-06;8.52e-07;3e-08
broadcast;128;3;4e-08;6.413e-06;8.51e-07;3e-08
